weather_year,column,mode,unit,min,max,mean,median
1987,industry_chemicals_fertilizers_h_demand,physical,raw MW (no per-unit denominator for this series),494.6728,494.6728,494.6728,494.6728
1997,industry_chemicals_fertilizers_h_demand,physical,raw MW (no per-unit denominator for this series),494.6728,494.6728,494.6728,494.6728
2004,industry_chemicals_fertilizers_h_demand,physical,raw MW (no per-unit denominator for this series),494.6728,494.6728,494.6728,494.6728
default,industry_chemicals_other_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1987,industry_chemicals_other_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1997,industry_chemicals_other_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
2004,industry_chemicals_other_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
default,industry_chemicals_other_h_demand,physical,raw MW (no per-unit denominator for this series),1312.5069,1312.5069,1312.5069,1312.5069
1987,industry_chemicals_other_h_demand,physical,raw MW (no per-unit denominator for this series),1312.5069,1312.5069,1312.5069,1312.5069
1997,industry_chemicals_other_h_demand,physical,raw MW (no per-unit denominator for this series),1312.5069,1312.5069,1312.5069,1312.5069
2004,industry_chemicals_other_h_demand,physical,raw MW (no per-unit denominator for this series),1312.5069,1312.5069,1312.5069,1312.5069
default,industry_chemicals_refineries_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1987,industry_chemicals_refineries_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1997,industry_chemicals_refineries_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
2004,industry_chemicals_refineries_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
default,industry_chemicals_refineries_h_demand,physical,raw MW (no per-unit denominator for this series),542.2731,542.2731,542.2731,542.2731
1987,industry_chemicals_refineries_h_demand,physical,raw MW (no per-unit denominator for this series),542.2731,542.2731,542.2731,542.2731
1997,industry_chemicals_refineries_h_demand,physical,raw MW (no per-unit denominator for this series),542.2731,542.2731,542.2731,542.2731
2004,industry_chemicals_refineries_h_demand,physical,raw MW (no per-unit denominator for this series),542.2731,542.2731,542.2731,542.2731
default,industry_metal_aluminium_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1987,industry_metal_aluminium_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1997,industry_metal_aluminium_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
2004,industry_metal_aluminium_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
default,industry_metal_aluminium_h_demand,physical,raw MW (no per-unit denominator for this series),14.5717,14.5717,14.5717,14.5717
1987,industry_metal_aluminium_h_demand,physical,raw MW (no per-unit denominator for this series),14.5717,14.5717,14.5717,14.5717
1997,industry_metal_aluminium_h_demand,physical,raw MW (no per-unit denominator for this series),14.5717,14.5717,14.5717,14.5717
2004,industry_metal_aluminium_h_demand,physical,raw MW (no per-unit denominator for this series),14.5717,14.5717,14.5717,14.5717
default,industry_metal_other_metals_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1987,industry_metal_other_metals_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
1997,industry_metal_other_metals_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
2004,industry_metal_other_metals_h_demand,shape,normalized,0.000114,0.000114,0.000114,0.000114
default,industry_metal_other_metals_h_demand,physical,raw MW (no per-unit denominator for this series),43.1722,43.1722,43.1722,43.1722
1987,industry_metal_other_metals_h_demand,physical,raw MW (no per-unit denominator for this series),43.1722,43.1722,43.1722,43.1722
1997,industry_metal_other_metals_h_demand,physical,raw MW (no per-unit denominator for this series),43.1722,43.1722,43.1722,43.1722
2004,industry_metal_other_metals_h_demand,physical,raw MW (no per-unit denominator for this series),43.1722,43.1722,43.1722,43.1722
default,industry_other_non_specified_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
1987,industry_other_non_specified_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
1997,industry_other_non_specified_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
2004,industry_other_non_specified_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
default,industry_other_non_specified_h_demand,physical,raw MW (no per-unit denominator for this series),631.0358,3215.7328,1614.145282,1555.8113
1987,industry_other_non_specified_h_demand,physical,raw MW (no per-unit denominator for this series),631.0358,3215.7328,1614.145282,1555.8113
1997,industry_other_non_specified_h_demand,physical,raw MW (no per-unit denominator for this series),631.0358,3215.7328,1614.145282,1555.8113
2004,industry_other_non_specified_h_demand,physical,raw MW (no per-unit denominator for this series),631.0358,3215.7328,1614.145282,1555.8113
default,industry_food_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
1987,industry_food_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
1997,industry_food_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
2004,industry_food_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
default,industry_food_h_demand,physical,raw MW (no per-unit denominator for this series),613.7256,3127.521,1569.867134,1513.1333
1987,industry_food_h_demand,physical,raw MW (no per-unit denominator for this series),613.7256,3127.521,1569.867134,1513.1333
1997,industry_food_h_demand,physical,raw MW (no per-unit denominator for this series),613.7256,3127.521,1569.867134,1513.1333
2004,industry_food_h_demand,physical,raw MW (no per-unit denominator for this series),613.7256,3127.521,1569.867134,1513.1333
default,industry_paper_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
1987,industry_paper_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
1997,industry_paper_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
2004,industry_paper_h_demand,shape,normalized,4.5e-05,0.000227,0.000114,0.00011
default,industry_paper_h_demand,physical,raw MW (no per-unit denominator for this series),126.1741,642.9782,322.744552,311.0808
1987,industry_paper_h_demand,physical,raw MW (no per-unit denominator for this series),126.1741,642.9782,322.744552,311.0808
1997,industry_paper_h_demand,physical,raw MW (no per-unit denominator for this series),126.1741,642.9782,322.744552,311.0808
2004,industry_paper_h_demand,physical,raw MW (no per-unit denominator for this series),126.1741,642.9782,322.744552,311.0808
default,logistics_fleet_e_hgv,shape,normalized,3.3e-05,0.00066,0.000114,8.9e-05
1987,logistics_fleet_e_hgv,shape,normalized,3.3e-05,0.00066,0.000114,8.9e-05
1997,logistics_fleet_e_hgv,shape,normalized,3.3e-05,0.00066,0.000114,8.9e-05
2004,logistics_fleet_e_hgv,shape,normalized,3.3e-05,0.00066,0.000114,8.9e-05
default,logistics_fleet_e_hgv,physical,raw MW (no per-unit denominator for this series),0.1427,2.8817,0.498305,0.3866
1987,logistics_fleet_e_hgv,physical,raw MW (no per-unit denominator for this series),0.1427,2.8817,0.498305,0.3866
1997,logistics_fleet_e_hgv,physical,raw MW (no per-unit denominator for this series),0.1427,2.8817,0.498305,0.3866
2004,logistics_fleet_e_hgv,physical,raw MW (no per-unit denominator for this series),0.1427,2.8817,0.498305,0.3866
