PK_UID;jaar;naamgeving;effluent_z;effluent_w;temp_z;temp_w;waterschap;wp_gj_z;wp_gj_w;opmerking;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
150.0;0.0;AWZI Waddinxveen-Randenburg;13000.0;13000.0;0.0;0.0;HH van Rijnland;271.7;271.7;Aangeleverd door Waterschap;HH van Rijnland;99170.0;76538.0;Waddinxveen;Midden-Holland;786.0;1572.0;314.0;629.0;Zuid-Holland;;GM0627;2741.0;;;GM0627;2741.0;;;GM0627;2741.0;;False;False;False;52.05696963575252;4.6661407249887015;WarmteAtlas:AquathermieRWZI;;;
55.0;0.0;RWZI Asperen;1100.0;1100.0;21.3163;9.45;Waterschap Rivierenland;22.99;22.99;;Waterschap Rivierenland;8391.0;6476.0;Lingewaal;Rivierenland (Fruitdelta);66.0;133.0;27.0;53.0;Gelderland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88411826880908;5.110685141910247;WarmteAtlas:AquathermieRWZI;;;
56.0;0.0;RWZI Beesd;1310.0;1310.0;20.4859;7.30778;Waterschap Rivierenland;27.379;27.379;;Waterschap Rivierenland;9993.0;7713.0;Geldermalsen;Rivierenland (Fruitdelta);79.0;158.0;32.0;63.0;Gelderland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.89722737570678;5.169531209333422;WarmteAtlas:AquathermieRWZI;;;
57.0;0.0;RWZI Geldermalsen;5490.0;5490.0;20.1065;10.625;Waterschap Rivierenland;114.741;114.741;;Waterschap Rivierenland;41880.0;32323.0;Geldermalsen;Rivierenland (Fruitdelta);332.0;664.0;133.0;266.0;Gelderland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.88734449500729;5.275325299557291;WarmteAtlas:AquathermieRWZI;;;
58.0;0.0;RWZI Zetten;1070.0;1070.0;20.9348;9.43864;Waterschap Rivierenland;22.363;22.363;;Waterschap Rivierenland;8162.0;6300.0;Overbetuwe;Arnhem/Nijmegen;65.0;130.0;26.0;52.0;Gelderland;;GM1734;;;;GM1734;;;;GM1734;;;False;False;False;51.93825801583184;5.711807651399275;WarmteAtlas:AquathermieRWZI;;;
63.0;0.0;RWZI Dodewaard;3910.0;3910.0;21.3789;11.8911;Waterschap Rivierenland;81.719;81.719;;Waterschap Rivierenland;29827.0;23020.0;Neder-Betuwe;Rivierenland (Fruitdelta);236.0;473.0;95.0;189.0;Gelderland;;GM1740;;;;GM1740;;;;GM1740;;;False;False;False;51.92046528900638;5.634464579169903;WarmteAtlas:AquathermieRWZI;;;
68.0;0.0;RWZI Haaften;2220.0;2220.0;20.888;9.78889;Waterschap Rivierenland;46.398;46.398;;Waterschap Rivierenland;16935.0;13070.0;Neerijnen;Rivierenland (Fruitdelta);134.0;268.0;54.0;107.0;Gelderland;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.823122548771686;5.223834170592945;WarmteAtlas:AquathermieRWZI;;;
74.0;0.0;RWZI Meerkerk;1656.0;1656.0;0.0;0.0;Waterschap Rivierenland;34.6104;34.6104;;Waterschap Rivierenland;12633.0;9750.0;Zederik;U10/U16;100.0;200.0;40.0;80.0;Utrecht;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.91709440674467;4.989475195647752;WarmteAtlas:AquathermieRWZI;;;
75.0;0.0;RWZI Leerbroek;648.0;648.0;0.0;0.0;Waterschap Rivierenland;13.5432;13.5432;;Waterschap Rivierenland;4943.0;3815.0;Zederik;U10/U16;39.0;78.0;16.0;31.0;Utrecht;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.91351236995863;5.05674255547328;WarmteAtlas:AquathermieRWZI;;;
76.0;0.0;RWZI Vianen;5900.0;5900.0;21.68;12.5855;Waterschap Rivierenland;123.31;123.31;;Waterschap Rivierenland;45008.0;34736.0;Vianen;U10/U16;357.0;714.0;143.0;285.0;Utrecht;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.99866236458596;5.098690009177368;WarmteAtlas:AquathermieRWZI;;;
77.0;0.0;RWZI Leerdam;4580.0;4580.0;22.7196;12.5089;Waterschap Rivierenland;95.722;95.722;;Waterschap Rivierenland;34939.0;26965.0;Leerdam;U10/U16;277.0;554.0;111.0;222.0;Utrecht;;GM1961;;;;GM1961;;;;GM1961;;;False;False;False;51.88925926238224;5.088739075141169;WarmteAtlas:AquathermieRWZI;;;
78.0;0.0;RWZI Sleeuwijk;8730.0;8730.0;20.6938;11.3779;Waterschap Rivierenland;182.457;182.457;;Waterschap Rivierenland;66597.0;51398.0;Werkendam;West-Brabant;528.0;1056.0;211.0;422.0;Noord-Brabant;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.816201532619665;4.930500055121303;WarmteAtlas:AquathermieRWZI;;;
79.0;0.0;RWZI Dussen;1370.0;1370.0;18.6739;6.66333;Waterschap Rivierenland;28.633;28.633;;Waterschap Rivierenland;10451.0;8066.0;Werkendam;West-Brabant;83.0;166.0;33.0;66.0;Noord-Brabant;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.732278067140804;4.928614645495824;WarmteAtlas:AquathermieRWZI;;;
80.0;0.0;RWZI Eethen;670.0;670.0;18.6739;6.66333;Waterschap Rivierenland;14.003;14.003;;Waterschap Rivierenland;5111.0;3945.0;Aalburg;West-Brabant;40.0;81.0;16.0;32.0;Noord-Brabant;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.72449237508413;5.055697860037916;WarmteAtlas:AquathermieRWZI;;;
81.0;0.0;RWZI Wijk en Aalburg;1710.0;1710.0;18.6739;6.66333;Waterschap Rivierenland;35.739;35.739;;Waterschap Rivierenland;13045.0;10068.0;Aalburg;West-Brabant;104.0;207.0;41.0;83.0;Noord-Brabant;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.753962110087066;5.122633913712286;WarmteAtlas:AquathermieRWZI;;;
82.0;0.0;RWZI Schelluinen;11090.0;11090.0;20.9519;11.4143;Waterschap Rivierenland;231.781;231.781;;Waterschap Rivierenland;84600.0;65293.0;Giessenlanden;Alblasserwaard;671.0;1341.0;268.0;536.0;Zuid-Holland;;GM1978;;;;GM1978;;;;GM1978;;;False;False;False;51.843919806993846;4.935294721762139;WarmteAtlas:AquathermieRWZI;;;
85.0;0.0;RWZI Nieuw-Lekkerland;3348.0;3348.0;0.0;0.0;Waterschap Rivierenland;69.9732;69.9732;;Waterschap Rivierenland;25540.0;19711.0;Molenwaard;Alblasserwaard;202.0;405.0;81.0;162.0;Zuid-Holland;;GM1978;2957.0;;;GM1978;2957.0;;;GM1978;2957.0;;False;False;False;51.887123050811276;4.6584758157103545;WarmteAtlas:AquathermieRWZI;;;
86.0;0.0;RWZI Groot-Ammers;6750.0;6750.0;15.2739;6.68444;Waterschap Rivierenland;141.075;141.075;;Waterschap Rivierenland;51492.0;39741.0;Molenwaard;Alblasserwaard;408.0;816.0;163.0;327.0;Zuid-Holland;;GM1978;2964.0;;;GM1978;2964.0;;;GM1978;2964.0;;False;False;False;51.935408725209015;4.858258801313704;WarmteAtlas:AquathermieRWZI;;;
