gemeentecode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
GM0353;2022;87.0;10.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
GM0353;2023;85.0;10.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
GM0353;2024;84.0;10.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
GM0355;2022;76.0;15.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
GM0355;2023;76.0;14.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
GM0355;2024;75.0;14.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
GM0356;2022;39.0;2.0;0.0;1.0;48.0;1.0;0.0;7.0
GM0356;2023;38.0;2.0;0.0;1.0;48.0;1.0;0.0;8.0
GM0356;2024;37.0;2.0;0.0;1.0;48.0;1.0;0.0;9.0
GM0358;2022;94.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;2.0
GM0358;2023;92.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
GM0358;2024;89.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
GM0361;2022;86.0;5.0;0.0;1.0;5.0;1.0;0.0;1.0
GM0361;2023;82.0;5.0;0.0;1.0;7.0;1.0;1.0;2.0
GM0361;2024;80.0;4.0;0.0;1.0;8.0;2.0;1.0;2.0
GM0362;2022;70.0;18.0;0.0;1.0;5.0;1.0;0.0;3.0
GM0362;2023;68.0;17.0;0.0;1.0;5.0;2.0;0.0;5.0
GM0362;2024;68.0;17.0;0.0;1.0;5.0;2.0;1.0;5.0
GM0363;2022;74.0;6.0;0.0;3.0;14.0;0.0;0.0;2.0
GM0363;2023;73.0;6.0;0.0;3.0;15.0;0.0;0.0;3.0
GM0363;2024;72.0;5.0;0.0;3.0;15.0;1.0;0.0;3.0
