waterschap;res_gebied;naamgeving;med_uur;gj_exwko;gj_zomer;gj_metwko;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Aa en Maas;Noord-oost Brabant;Wachthuis;90.0833333333;5090.93;3009.6;8100.53;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.75953852425749;5.68135990843234;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Schaijk;68.2916666667;3859.4;2282.4;6141.8;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.75187290912148;5.638120001537887;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;De Peel;83.125;4697.69;2779.2;7476.89;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.660716668663355;5.7374841460941575;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Wilbertoord;6.79166666667;188.07;230.4;418.47;Minimale waarde < 20 m3/uur;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.65838700138337;5.771569084887069;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Langenboom;15.0416666667;416.52;504.0;920.52;Minimale waarde < 20 m3/uur;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.707343470064636;5.728689763113354;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Grave;77.6666666667;4389.22;2599.19;6988.42;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.76023712404756;5.732937406723376;WarmteAtlas:TEA_assets_met_wko;;;
Aa en Maas;Noord-oost Brabant;Vught;0.0;0.0;0.0;0.0;Geen debiet data beschikbaar;;GM0865;;;;GM0865;;;;GM0865;;;False;False;False;51.67111369337734;5.284653449936824;WarmteAtlas:TEA_assets_met_wko;;;
Brabantse Delta;West-Brabant;rg. Alphen;27.8333333333;770.75;928.8;1699.55;Minimale waarde < 20 m3/uur;;GM1723;;;;GM1723;;;;GM1723;;;False;False;False;51.48212758084059;4.96312357628602;WarmteAtlas:TEA_assets_met_wko;;;
Brabantse Delta;Hart van Brabant;rg. Waspik;30.4583333333;843.44;1015.2;1858.64;Minimale waarde < 20 m3/uur;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.68932371880383;4.94347060192712;WarmteAtlas:TEA_assets_met_wko;;;
Brabantse Delta;Hart van Brabant;rg. Sprang Capelle;77.75;4393.93;2599.19;6993.13;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.673690380095664;5.007977171061174;WarmteAtlas:TEA_assets_met_wko;;;
Brabantse Delta;Hart van Brabant;rg. Waalwijk;245.958333333;13899.99;8222.4;22122.39;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.69394384600263;5.074790388082352;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Duin;50.3333333333;2844.51;1684.8;4529.31;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.61236393422841;5.458256575473734;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Olland;3.5;96.92;115.2;212.12;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.57970555144907;5.40949618769192;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Nijnsel;33.7916666667;935.74;1130.4;2066.14;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.55339336236985;5.4884608620703865;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Kienehoef;139.083333333;7860.09;4651.2;12511.29;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.5679732100732;5.460545708681869;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Boskant;14.625;404.99;489.6;894.59;Minimale waarde < 20 m3/uur;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.549597643786;5.424148635565377;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Biezenmortel;21.2083333333;587.29;712.8;1300.09;Minimale waarde < 20 m3/uur;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.62896969483304;5.177823151405942;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Helvoirt;68.2083333333;3854.69;2282.4;6137.09;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0865;;;;GM0865;;;;GM0865;;;False;False;False;51.63183706733455;5.233814734428278;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap De Dommel;Hart van Brabant;Udenhout;167.125;9444.83;5587.2;15032.03;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.61499857869916;5.140347872611121;WarmteAtlas:TEA_assets_met_wko;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Rozenburg;190.0;26843.96;7942.0;34785.96;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0599;3181.0;;;GM0599;3181.0;;;GM0599;3181.0;;False;False;False;51.91805972564442;4.226197000977703;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Harmelen;60.0;3390.81;2008.8;5399.61;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.08791980098226;4.9628298430459825;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Zegveld;19.5;539.98;655.2;1195.18;Minimale waarde < 20 m3/uur;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.11259525953214;4.833892735918506;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Kamerik;19.5;539.98;655.2;1195.18;Minimale waarde < 20 m3/uur;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.111364965147956;4.892124650678416;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Amerongen;0.0;0.0;0.0;0.0;Geen debiet data beschikbaar;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;51.99626072579313;5.455722955551317;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Hertenkamp;0.0;0.0;0.0;0.0;Geen debiet data beschikbaar;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.0630395528313;5.263737707792915;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Leersum;32.0;886.13;1072.8;1958.93;Minimale waarde < 20 m3/uur;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.00590649368051;5.426657974744351;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Doorn;41.0;2317.05;1368.0;3685.05;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.03473847933261;5.31561518306603;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Kockengen;17.5;484.6;583.2;1067.8;Minimale waarde < 20 m3/uur;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.14929959978104;4.95340872046039;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Oud Zuilen;0.0;0.0;0.0;0.0;Geen debiet data beschikbaar;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.12756309454968;5.06928436818616;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Broekdijk;4.5;62.3;151.19;213.5;Minimale waarde < 20 m3/uur;;GM1904;;;;GM1904;;;;GM1904;;;False;False;False;52.16941291747911;4.993456189298159;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Nieuwegein;276.5;7813.0;9244.79;17057.8;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;;GM0356;;;;GM0356;;;;GM0356;;;False;False;False;52.007683677877495;5.076045418009692;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Oud Londen;2.0;55.38;64.8;120.18;Minimale waarde < 20 m3/uur;;GM0355;;;;GM0355;;;;GM0355;;;False;False;False;52.0901111267428;5.285856495850606;WarmteAtlas:TEA_assets_met_wko;;;
De Stichtse Rijnlanden;U10/U16;Austerlitz;4.5;124.61;151.19;275.81;Minimale waarde < 20 m3/uur;;GM0355;;;;GM0355;;;;GM0355;;;False;False;False;52.08012056004827;5.310717985246209;WarmteAtlas:TEA_assets_met_wko;;;
