codering;jaar;solar_woningen_kwp;solar_woningen_count
BU00344401;2022;795.0;230.0
BU00344402;2022;520.0;263.0
BU00344403;2022;44.0;6.0
BU00344501;2022;726.0;218.0
BU00344502;2022;300.0;118.0
BU00344503;2022;202.0;72.0
BU00344504;2022;47.0;7.0
BU00344505;2022;0.0;0.0
BU00344601;2022;416.0;125.0
BU00344602;2022;351.0;107.0
BU00344603;2022;848.0;221.0
BU00344701;2022;n.a.;n.a.
BU00344702;2022;461.0;116.0
BU00344703;2022;776.0;184.0
BU00344704;2022;n.a.;n.a.
BU00344801;2022;437.0;125.0
BU00344802;2022;640.0;176.0
BU00344803;2022;566.0;165.0
BU00344804;2022;349.0;126.0
BU00344901;2022;674.0;236.0
BU00344902;2022;369.0;94.0
BU00344903;2022;1122.0;287.0
BU00344904;2022;0.0;0.0
BU00345001;2022;336.0;115.0
BU00345002;2022;364.0;76.0
BU00345101;2022;427.0;123.0
BU00345102;2022;907.0;175.0
BU00345103;2022;n.a.;n.a.
BU00345104;2022;449.0;107.0
BU00345105;2022;n.a.;n.a.
BU00345201;2022;319.0;87.0
BU00345202;2022;389.0;104.0
BU00345203;2022;496.0;134.0
BU00345204;2022;597.0;189.0
BU00345205;2022;521.0;144.0
BU00345206;2022;773.0;192.0
BU00345207;2022;0.0;0.0
BU00345301;2022;799.0;185.0
BU00345302;2022;0.0;0.0
BU00345601;2022;0.0;0.0
BU00345602;2022;n.a.;n.a.
BU00345701;2022;n.a.;n.a.
BU00345702;2022;0.0;0.0
BU00345801;2022;78.0;18.0
BU00345901;2022;32.0;7.0
BU00345902;2022;0.0;0.0
BU00346001;2022;322.0;139.0
BU00346101;2022;499.0;145.0
BU00346102;2022;159.0;67.0
BU00346103;2022;321.0;93.0
BU00346201;2022;723.0;291.0
BU00346202;2022;362.0;268.0
BU00346301;2022;749.0;181.0
BU00346302;2022;1195.0;314.0
BU00346303;2022;544.0;191.0
BU00346304;2022;437.0;107.0
BU00346401;2022;0.0;0.0
BU00346501;2022;740.0;283.0
BU00346601;2022;649.0;353.0
BU00346602;2022;426.0;244.0
BU00347101;2022;0.0;0.0
BU00347201;2022;0.0;0.0
BU00347301;2022;0.0;0.0
BU00347401;2022;0.0;0.0
BU00347402;2022;0.0;0.0
BU00347501;2022;728.0;139.0
BU00347502;2022;1318.0;282.0
BU00347503;2022;0.0;0.0
BU00347504;2022;0.0;0.0
BU00347601;2022;1470.0;376.0
BU00347602;2022;0.0;0.0
BU00347603;2022;2006.0;641.0
BU00347604;2022;0.0;0.0
BU00347701;2022;4742.0;734.0
BU00347702;2022;5141.0;873.0
BU00347703;2022;0.0;0.0
BU00347901;2022;0.0;0.0
BU00348501;2022;0.0;0.0
BU00348502;2022;53.0;11.0
BU00349615;2022;0.0;0.0
BU04840101;2022;82.0;13.0
BU04840102;2022;48.0;10.0
BU04840103;2022;905.0;244.0
BU04840104;2022;433.0;86.0
BU04840105;2022;1171.0;460.0
BU04840106;2022;668.0;213.0
BU04840107;2022;22.0;4.0
BU04840108;2022;883.0;242.0
BU04840109;2022;298.0;75.0
BU04840110;2022;392.0;105.0
BU04840111;2022;174.0;106.0
BU04840201;2022;118.0;15.0
BU04840202;2022;293.0;86.0
BU04840203;2022;1076.0;350.0
BU04840204;2022;773.0;269.0
BU04840205;2022;540.0;152.0
BU04840206;2022;528.0;163.0
BU04840207;2022;739.0;235.0
BU04840208;2022;327.0;96.0
BU04840209;2022;19.0;8.0
BU04840210;2022;305.0;87.0
BU04840211;2022;416.0;96.0
BU04840301;2022;848.0;249.0
BU04840302;2022;1082.0;299.0
BU04840303;2022;204.0;53.0
BU04840304;2022;1260.0;289.0
BU04840305;2022;943.0;237.0
BU04840306;2022;2070.0;304.0
BU04840307;2022;0.0;0.0
BU04840401;2022;n.a.;n.a.
BU04840402;2022;275.0;42.0
BU04840403;2022;1051.0;338.0
BU04840404;2022;515.0;135.0
BU04840405;2022;n.a.;n.a.
BU04840501;2022;1150.0;306.0
BU04840502;2022;457.0;143.0
BU04840503;2022;n.a.;n.a.
BU04840504;2022;510.0;153.0
BU04840505;2022;665.0;188.0
BU04840506;2022;n.a.;n.a.
BU04840601;2022;819.0;245.0
BU04840602;2022;n.a.;n.a.
BU04840603;2022;1201.0;344.0
BU04840604;2022;1214.0;301.0
BU04840605;2022;n.a.;n.a.
BU04840701;2022;418.0;78.0
BU04840702;2022;55.0;5.0
BU04840801;2022;0.0;0.0
BU04840802;2022;158.0;42.0
BU04840803;2022;1056.0;312.0
BU04840804;2022;601.0;158.0
BU04840805;2022;623.0;172.0
BU04840806;2022;991.0;324.0
BU04840807;2022;1755.0;450.0
BU04840808;2022;304.0;81.0
BU04840809;2022;2075.0;539.0
BU04840810;2022;629.0;170.0
BU04840811;2022;476.0;166.0
BU04840812;2022;0.0;0.0
BU04840813;2022;0.0;0.0
BU04840901;2022;24.0;3.0
BU04843101;2022;289.0;56.0
BU04843102;2022;479.0;141.0
BU04843103;2022;751.0;230.0
BU04843104;2022;107.0;19.0
BU04844501;2022;282.0;54.0
BU04844502;2022;32.0;5.0
BU04844503;2022;408.0;109.0
BU04844504;2022;187.0;31.0
BU04847001;2022;219.0;35.0
BU04847002;2022;156.0;24.0
BU04847003;2022;285.0;55.0
BU04847004;2022;381.0;60.0
BU04847005;2022;758.0;206.0
BU04847006;2022;993.0;249.0
BU04847007;2022;353.0;104.0
BU04847008;2022;572.0;155.0
BU04847009;2022;1327.0;403.0
BU04847010;2022;572.0;169.0
BU04847011;2022;1297.0;324.0
BU04847012;2022;885.0;291.0
BU04847013;2022;424.0;145.0
BU04847014;2022;474.0;102.0
BU04847015;2022;107.0;16.0
BU04847101;2022;613.0;149.0
BU04847102;2022;0.0;0.0
BU04847103;2022;283.0;76.0
BU04849101;2022;902.0;218.0
BU04849102;2022;618.0;90.0
BU04849103;2022;657.0;207.0
BU04849104;2022;1499.0;401.0
BU04849105;2022;438.0;85.0
BU04849401;2022;444.0;102.0
BU04849402;2022;391.0;130.0
BU04849403;2022;1089.0;344.0
BU04849404;2022;722.0;207.0
BU04849601;2022;241.0;46.0
BU04849602;2022;949.0;286.0
BU04849603;2022;741.0;262.0
BU04849604;2022;139.0;16.0
BU17230101;2022;n.a.;n.a.
BU17230102;2022;742.0;178.0
BU17230103;2022;448.0;96.0
BU17230104;2022;n.a.;n.a.
BU17230105;2022;140.0;25.0
BU17230106;2022;682.0;145.0
BU17230107;2022;551.0;65.0
BU17230201;2022;160.0;38.0
BU17230202;2022;329.0;74.0
BU17230203;2022;434.0;93.0
BU17230204;2022;356.0;77.0
BU17230205;2022;0.0;0.0
BU17230206;2022;447.0;91.0
BU17230207;2022;853.0;128.0
BU17230301;2022;250.0;40.0
BU17230401;2022;636.0;132.0
BU17230402;2022;225.0;33.0
BU17230501;2022;291.0;44.0
BU17230601;2022;56.0;4.0
BU19590101;2022;420.0;90.0
BU19590102;2022;328.0;90.0
BU19590103;2022;624.0;181.0
BU19590104;2022;624.0;187.0
BU19590105;2022;628.0;163.0
BU19590106;2022;767.0;223.0
BU19590107;2022;159.0;19.0
BU19590191;2022;25.0;7.0
BU19590192;2022;151.0;17.0
BU19590193;2022;54.0;6.0
BU19590194;2022;97.0;16.0
BU19590201;2022;2368.0;614.0
BU19590202;2022;1416.0;330.0
BU19590291;2022;153.0;27.0
BU19590301;2022;2141.0;641.0
BU19590391;2022;n.a.;n.a.
BU19590392;2022;n.a.;n.a.
BU19590401;2022;2045.0;495.0
BU19590402;2022;n.a.;n.a.
BU19590491;2022;128.0;25.0
BU19590492;2022;n.a.;n.a.
BU19590501;2022;1477.0;309.0
BU19590591;2022;n.a.;n.a.
BU19590592;2022;n.a.;n.a.
BU19590601;2022;175.0;58.0
BU19590602;2022;1466.0;367.0
BU19590603;2022;380.0;73.0
BU19590691;2022;311.0;11.0
BU19590701;2022;743.0;206.0
BU19590791;2022;60.0;10.0
BU19590801;2022;168.0;37.0
BU19590891;2022;46.0;7.0
BU19590901;2022;n.a.;n.a.
BU19590991;2022;n.a.;n.a.
BU19591001;2022;710.0;184.0
BU19591002;2022;16.0;3.0
BU19591091;2022;105.0;13.0
BU19591101;2022;1244.0;305.0
BU19591191;2022;115.0;18.0
BU19591201;2022;965.0;289.0
BU19591202;2022;1070.0;285.0
BU19591203;2022;158.0;39.0
BU19591291;2022;164.0;27.0
BU19591292;2022;466.0;22.0
BU19591301;2022;1325.0;262.0
BU19591302;2022;171.0;23.0
BU19591303;2022;95.0;23.0
BU19591391;2022;0.0;0.0
BU19591401;2022;1146.0;230.0
BU19591402;2022;1158.0;244.0
BU19591403;2022;570.0;114.0
BU19591491;2022;490.0;72.0
BU19591492;2022;114.0;18.0
BU19591501;2022;186.0;37.0
BU19591591;2022;83.0;10.0
BU19591601;2022;297.0;71.0
BU19591691;2022;20.0;6.0
BU19591701;2022;520.0;120.0
BU19591791;2022;40.0;3.0
BU19591801;2022;161.0;31.0
BU19591891;2022;162.0;22.0
BU19591901;2022;1537.0;209.0
BU19591991;2022;67.0;13.0
BU00600000;2022;748.0;166.0
BU00600001;2022;633.0;128.0
BU00600002;2022;212.0;55.0
BU00600003;2022;566.0;153.0
BU00600007;2022;22.0;6.0
BU00600008;2022;n.a.;n.a.
BU00600009;2022;n.a.;n.a.
BU03070100;2022;10.0;4.0
BU03070101;2022;24.0;5.0
BU03070102;2022;n.a.;n.a.
BU03070103;2022;n.a.;n.a.
BU03070104;2022;92.0;41.0
BU03070105;2022;13.0;5.0
BU03070106;2022;9.0;3.0
BU03070107;2022;191.0;9.0
BU03070108;2022;189.0;72.0
BU03070200;2022;0.0;0.0
BU03070202;2022;143.0;62.0
BU03070204;2022;191.0;56.0
BU03070300;2022;497.0;189.0
BU03070301;2022;705.0;309.0
BU03070302;2022;525.0;199.0
BU03070303;2022;1000.0;507.0
BU03070304;2022;834.0;289.0
BU03070305;2022;601.0;295.0
BU03070306;2022;163.0;51.0
BU03070307;2022;83.0;15.0
BU03070308;2022;65.0;31.0
BU03070309;2022;0.0;0.0
BU03070401;2022;n.a.;n.a.
BU03070402;2022;0.0;0.0
BU03070504;2022;32.0;8.0
BU03070505;2022;n.a.;n.a.
BU03070600;2022;334.0;204.0
BU03070601;2022;732.0;407.0
BU03070603;2022;419.0;113.0
BU03070700;2022;710.0;242.0
BU03070701;2022;554.0;212.0
BU03070702;2022;342.0;107.0
BU03070800;2022;875.0;279.0
BU03070801;2022;459.0;177.0
BU03070803;2022;560.0;155.0
BU03070900;2022;926.0;327.0
BU03070902;2022;826.0;268.0
BU03070903;2022;1150.0;403.0
BU03070905;2022;n.a.;n.a.
BU03070906;2022;n.a.;n.a.
BU03071000;2022;424.0;135.0
BU03071001;2022;591.0;280.0
BU03071002;2022;755.0;369.0
BU03071003;2022;436.0;148.0
BU03071004;2022;750.0;309.0
BU03071100;2022;878.0;272.0
BU03071101;2022;938.0;252.0
BU03071201;2022;297.0;40.0
BU03071202;2022;55.0;8.0
BU03071203;2022;n.a.;n.a.
BU03071204;2022;20.0;5.0
BU03071205;2022;n.a.;n.a.
BU03071300;2022;826.0;334.0
BU03071301;2022;482.0;266.0
BU03071302;2022;386.0;96.0
BU03071400;2022;685.0;250.0
BU03071401;2022;815.0;281.0
BU03071402;2022;387.0;180.0
BU03071403;2022;941.0;313.0
BU03071500;2022;489.0;153.0
BU03071501;2022;841.0;367.0
BU03071502;2022;559.0;209.0
BU03071503;2022;335.0;77.0
BU03071600;2022;614.0;256.0
BU03071601;2022;n.a.;n.a.
BU03071602;2022;901.0;346.0
BU03071603;2022;n.a.;n.a.
BU03071700;2022;151.0;81.0
BU03071701;2022;298.0;108.0
