transformer_id;type;naam;operator;jaar;voltage_kv;latitude;longitude;primary_parent_id;aanwezige_transportcapaciteit_invoeding;aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_invoeding;benodigde_transportcapaciteit_afname;unieke_verzoeken_invoeding;unieke_verzoeken_afname;wachtrij_invoeding;wachtrij_afname;voorspelde_capaciteit_invoeding;voorspelde_capaciteit_afname;jaartal_opgelost_invoeding;jaartal_opgelost_afname;congestiegebied_afname;congestiegebied_opwek;afname_kleurcode;opwek_kleurcode;provincie;info
OS HARDERWIJK 10-1i;RNB;OS HARDERWIJK 10-1i;Liander;2032;n.a.;52.347389591910705;5.649188566759017;Station Harderwijk 150 (CBL);72.0;48.0;22.0;47.0;32.0;52.0;7.251;10.50556;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Flevoland, Gelderland;n.a.
OS HARDERWIJK 10-2i;RNB;OS HARDERWIJK 10-2i;Liander;2032;n.a.;52.25983546689179;5.722419551750584;Station Harderwijk 150 (CBL);97.0;73.0;37.0;67.0;37.0;50.0;8.556;9.06407;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Gelderland;n.a.
OS HARSELAAR 10-1i;RNB;OS HARSELAAR 10-1i;Liander;2032;n.a.;52.186411906481;5.6674365026939535;Station Harselaar 150 (CBL);70.0;70.0;32.0;44.0;42.0;48.0;7.639;7.31856;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Gelderland;n.a.
OS HARSELAAR 20-3i;RNB;OS HARSELAAR 20-3i;Liander;2032;n.a.;52.13528403614071;5.529176823879017;Station Harselaar 150 (CBL);94.0;94.0;64.0;76.0;52.0;85.0;66.374;80.04207;n.a.;n.a.;n.a.;2029.0;n.a.;n.a.;n.a.;n.a.;Gelderland, Utrecht;n.a.
OS HATTEM 10-1i;RNB;OS HATTEM 10-1i;Liander;2032;n.a.;52.42987225094713;6.0356950801929505;Station Hattem 150 (CBL);89.0;60.0;38.0;45.0;39.0;38.0;10.482;32.37932;n.a.;n.a.;n.a.;2028.0;n.a.;n.a.;n.a.;n.a.;Gelderland, Overijssel;n.a.
OS HEERENVEEN 10-1i;RNB;OS HEERENVEEN 10-1i;Liander;2032;n.a.;52.96705558767028;5.968215972255987;Station Heerenveen 110;83.0;55.0;32.0;34.0;15.0;21.0;15.967;7.09088;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Friesland;n.a.
OS HEERHUGOWAARD 50-1i;RNB;OS HEERHUGOWAARD 50-1i;Liander;2032;n.a.;52.67904461166889;4.843509903424307;Station Oterleek 150;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HERBAYUM 10-1i;RNB;OS HERBAYUM 10-1i;Liander;2032;n.a.;53.18297772700952;5.5133458524631855;Station Herbayum 110;55.0;39.0;40.0;32.0;30.0;18.0;10.595;13.95474;n.a.;n.a.;2032.0;2032.0;n.a.;n.a.;n.a.;n.a.;Friesland;n.a.
OS HERBAYUM 10-2i;RNB;OS HERBAYUM 10-2i;Liander;2032;n.a.;53.1937975904153;5.439918345310999;Station Herbayum 110;57.0;23.0;16.0;27.0;6.0;n.a.;1.721;n.a.;n.a.;n.a.;n.a.;2030.0;n.a.;n.a.;n.a.;n.a.;Friesland;n.a.
OS HERBAYUM 20KV 20-1i;RNB;OS HERBAYUM 20KV 20-1i;Liander;2032;n.a.;53.29509778700112;5.389177421710313;Station Herbayum 110;65.0;65.0;40.0;21.0;17.0;7.0;28.806;4.97902;n.a.;n.a.;2029.0;n.a.;n.a.;n.a.;n.a.;n.a.;Friesland;n.a.
OS HERBAYUM 20KV 20-2i;RNB;OS HERBAYUM 20KV 20-2i;Liander;2032;n.a.;53.10288086772914;5.412142126479639;Station Herbayum 110;139.0;65.0;61.0;43.0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Friesland;n.a.
OS HILLEGOM 10-1i;RNB;OS HILLEGOM 10-1i;Liander;2032;n.a.;52.29737507636884;4.572659075181141;Station Sassenheim 150 kV;23.0;23.0;12.0;22.0;n.a.;21.0;n.a.;3.55904;n.a.;n.a.;n.a.;2031.0;n.a.;n.a.;n.a.;n.a.;Zuid-Holland;n.a.
OS HILVERSUM JONKERWEG 10-1i;RNB;OS HILVERSUM JONKERWEG 10-1i;Liander;2032;n.a.;52.2282727769452;5.151602336805516;Station 's Graveland 150;36.0;36.0;2.0;30.0;n.a.;17.0;n.a.;2.15876;n.a.;n.a.;n.a.;2032.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HILVERSUM RAAFSTRAAT 10-1i;RNB;OS HILVERSUM RAAFSTRAAT 10-1i;Liander;2032;n.a.;52.20363582116145;5.178987122314012;Station 's Graveland 150;36.0;36.0;4.0;28.0;n.a.;19.0;n.a.;3.32522;n.a.;n.a.;n.a.;2032.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland, Utrecht;n.a.
OS HOOFDDORP 10-1i;RNB;OS HOOFDDORP 10-1i;Liander;2032;n.a.;52.27713066339828;4.6807355163158135;Station Haarlemmermeer 150;34.0;22.0;18.0;23.0;11.0;43.0;12.162;28.07988;n.a.;n.a.;n.a.;2038.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HOOFDDORP 10-2i;RNB;OS HOOFDDORP 10-2i;Liander;2032;n.a.;52.308781789140326;4.7121112162147485;Station Haarlemmermeer 150;32.0;19.0;8.0;27.0;n.a.;46.0;n.a.;12.95876;n.a.;n.a.;n.a.;2038.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HOOGTE KADIJK 10-1i;RNB;OS HOOGTE KADIJK 10-1i;Liander;2032;n.a.;52.36906523568755;4.93162322298756;Station Amsterdam Hoogte Kadijk 150;52.0;52.0;0.0;41.0;n.a.;5.0;n.a.;0.86432;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HOOGTE KADIJK 10-2i;RNB;OS HOOGTE KADIJK 10-2i;Liander;2032;n.a.;52.367508506179455;4.957043134555654;Station Amsterdam Hoogte Kadijk 150;28.0;22.0;0.0;20.0;n.a.;4.0;n.a.;0.40582;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HOORN GELDELOZEWEG 50-1i;RNB;OS HOORN GELDELOZEWEG 50-1i;Liander;2032;n.a.;52.65904411446318;5.00335755562032;Station Westwoud 150;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2029.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HOORN HOLENWEG 10-1i;RNB;OS HOORN HOLENWEG 10-1i;Liander;2032;n.a.;52.65288227052725;5.13132915770771;Station Westwoud 150;36.0;20.0;16.0;24.0;n.a.;20.0;n.a.;5.61376;n.a.;n.a.;n.a.;2030.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HOORN HOLENWEG 10-2i;RNB;OS HOORN HOLENWEG 10-2i;Liander;2032;n.a.;52.65713993272961;5.083523068553011;Station Westwoud 150;40.0;20.0;6.0;12.0;n.a.;9.0;n.a.;5.37822;n.a.;n.a.;n.a.;2030.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS HUIZEN 10-1i;RNB;OS HUIZEN 10-1i;Liander;2032;n.a.;52.29267699170954;5.2451735236134285;Station 's Graveland 150;36.0;36.0;13.0;30.0;n.a.;20.0;n.a.;2.4533;n.a.;n.a.;n.a.;2031.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland, Utrecht;n.a.
OS Heiloo 10-1i + 10-2i;RNB;OS Heiloo 10-1i + 10-2i;Liander;2032;n.a.;52.59825847657581;4.677838612544847;Station Oterleek 150;29.0;29.0;25.0;36.0;16.0;23.0;2.158;3.71058;n.a.;n.a.;n.a.;2032.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
