PK_UID;LandCode;INST_TYPE;NIC;INRICHTING;STAD;STRAATNAAM;POSTCODE;NR;TOEVOEGING;X;Y;SBI_CODE;SBI;SECTOR;SUBSECTOR;EMISSIE;kton1990;kton2000;kton2010;kton2015;kton2020;kton2021;kton2022;kton2023;kton2024;conv_grp;TJ_Warmte;TJ_W_Ind;legenda;Size;color;Jaar;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
928;NL;;220382;RWZI Schelluinen;Schelluinen;Banneweg;4209SZ;30;;123868;428442;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.620754;1.169963;1.680302;1.247768;1.747262;1.480813;2.390085;2.696422;2.578396;Overig;40.854869;40.854869;RWZI;2;Bleu;2024;;GM1978;;;;GM1978;;;;GM1978;;;False;False;False;51.843691333407186;4.93543126038085;WarmteAtlas:CO2EmissieBedrijven;;;
930;NL;;220384;RWZI Schijndel;Schijndel;Steeg;5482WN;32;;158700;404300;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;1.009814;1.021415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;RWZI;0;Bleu;2024;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.62754866668415;5.440637518587645;WarmteAtlas:CO2EmissieBedrijven;;;
935;NL;;220390;RWZI Sint Oedenrode;Sint-Oedenrode;Boskantseweg;5492VB;76;;159000;396900;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;2.965448;1.11148;2.023608;2.025553;1.980651;1.979941;2.447693;2.309361;2.065387;Overig;32.726202;32.726202;RWZI;2;Bleu;2024;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.561031189980554;5.444885276327489;WarmteAtlas:CO2EmissieBedrijven;;;
937;NL;;220392;RWZI Sleeuwijk;Sleeuwijk;Robijnsweg;4254LB;15;;123420;425300;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.5983;0.570223;0.946778;1.304023;1.912122;5.712013;3.185508;2.944935;3.006454;Overig;47.637468;47.637468;RWZI;2;Bleu;2024;;GM1959;;;;GM1959;;;;GM1959;;;False;False;False;51.81542546599925;4.929217381694462;WarmteAtlas:CO2EmissieBedrijven;;;
944;NL;;220399;AWZI Spijkenisse-Allemanspolder;Spijkenisse;Papendijk;3207LD;4;;84500;428600;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.0;1.835231;1.820908;2.563172;2.975994;2.600655;2.474315;2.769648;2.649901;Overig;41.987864;41.987864;RWZI;2;Bleu;2024;;GM1930;3207.0;;;GM1930;3207.0;;;GM1930;3207.0;;False;False;False;51.841523586871446;4.3641740691542985;WarmteAtlas:CO2EmissieBedrijven;;;
951;NL;;220406;RWZI Stolwijk;Stolwijk;Bilwijkerweg;2821SH;8;A;112400;443700;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.128018;0.131702;0.13559;0.116587;0.190826;0.181251;0.1632;0.177505;0.146384;Overig;2.319461;2.319461;RWZI;1;Bleu;2024;;GM1931;2821.0;;;GM1931;2821.0;;;GM1931;2821.0;;False;False;False;51.98006951573532;4.767133158103667;WarmteAtlas:CO2EmissieBedrijven;;;
952;NL;;220407;RWZI Stompwijk;Stompwijk;Meerlaan;2266HM;;;92300;456400;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.034237;0.053376;0.041144;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;RWZI;0;Bleu;2024;;GM1916;2266.0;;;GM1916;2266.0;;;GM1916;2266.0;;False;False;False;52.09230117002432;4.472266286292036;WarmteAtlas:CO2EmissieBedrijven;;;
953;NL;;220408;RWZI Strijen;Strijen;Sportlaan;3291TN;30;;98000;417700;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.598675;0.189767;0.155363;0.354014;0.385701;0.402513;0.346751;0.344808;0.268818;Overig;4.259443;4.259443;RWZI;1;Bleu;2024;;GM1963;;;;GM1963;;;;GM1963;;;False;False;False;51.745101891706156;4.561845788728533;WarmteAtlas:CO2EmissieBedrijven;;;
961;NL;;220416;RWZI Tilburg-Noord;Tilburg;Vloeiveldweg;5048TD;2;;132900;401500;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;10.154034;11.144365;15.57312;11.128844;19.911438;19.750193;15.115343;15.588387;20.94492;Overig;331.87374;331.87374;RWZI;3;Bleu;2024;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.60195838868605;5.068209496224891;WarmteAtlas:CO2EmissieBedrijven;;;
971;NL;;220426;RWZI Varik;Varik;Paasweg;4064RN;;;153800;427000;37.00;Afvalwaterinzameling en -behandeling;Riolering en waterzuiveringsinstallaties;Energiegebruik en processen Riolering en waterzuiveringsinstallaties;CO2;0.070732;0.104495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Overig;0.0;0.0;RWZI;0;Bleu;2024;;GM1960;;;;GM1960;;;;GM1960;;;False;False;False;51.831597582317286;5.369793308435187;WarmteAtlas:CO2EmissieBedrijven;;;
