codering;voedingsgebied_id;voedingsgebied_dekking;voedingsgebied_aantal_pc6
BU00370103;SKN;1.0;86
BU00370104;SKN;1.0;38
BU00370105;SKN;1.0;83
BU00370106;SKN;1.0;28
BU00370107;SKN;1.0;18
BU00370108;SKN;1.0;71
BU00370109;SKN;0.8518518518518519;27
BU00370110;SKN;1.0;49
BU00370111;SKN;0.72;25
BU00370112;SKN;1.0;32
BU00370200;MSKZ;0.9468085106382979;94
BU00370201;MSKZ;1.0;36
BU00370202;SKN;0.9090909090909091;33
BU00370203;SKN;1.0;24
BU00370300;MEE;1.0;59
BU00370301;MEE;1.0;1
BU00370308;MEE;1.0;16
BU00370309;MEE;0.7083333333333334;24
BU00370400;MSKZ;0.9259259259259259;27
BU00370401;MEE;0.5;2
BU00370402;MSKZ;1.0;5
BU00370409;MSKZ;0.8;15
BU00370500;MEE;1.0;22
BU00370509;MEE;0.8;15
BU00470000;VDM;1.0;101
BU00470001;VDM;1.0;123
BU00470002;VDM;0.9615384615384616;26
BU00470003;VDM;1.0;49
BU00470004;VDM;1.0;32
BU00470005;VDM;1.0;217
BU00470006;VDM;0.9545454545454546;22
BU00470007;VDM;1.0;54
BU00470100;VDM;0.875;8
BU00470101;VDM;0.9655172413793104;29
BU00470102;MEE;0.9;10
BU00470109;VDM;0.6470588235294118;17
BU00470200;VDM;1.0;93
BU00470201;VDM;1.0;38
BU00470202;VDM;1.0;10
BU00470209;VDM;1.0;25
BU00500000;OS ZEEWOLDE 10-1i;1.0;53
BU00500001;OS ZEEWOLDE 10-1i;1.0;82
BU00500002;OS ZEEWOLDE 10-1i;1.0;150
BU00500003;OS ZEEWOLDE 10-1i;1.0;142
BU00500004;OS ZEEWOLDE 10-1i;1.0;101
BU00500005;OS ZEEWOLDE 10-1i;1.0;2
BU00500006;OS ZEEWOLDE 10-1i;0.6538461538461539;26
BU00500007;OS ZEEWOLDE 20KV 20-9i;0.5789473684210527;19
BU00500008;OS ZEEWOLDE 20KV 20-7i;0.29411764705882354;17
BU00500009;OS ZEEWOLDE 10-1i;0.8846153846153846;26
BU00500010;OS ZEEWOLDE 10-1i;1.0;9
BU00590000;OS BERGUM CENTRALE 10-2i;1.0;162
BU00590001;OS BERGUM CENTRALE 10-1i;0.8518518518518519;27
BU00590002;OS BERGUM CENTRALE 10-1i;1.0;57
BU00590003;OS BERGUM CENTRALE 10-2i;1.0;41
BU00590004;OS BERGUM CENTRALE 10-2i;0.9642857142857143;28
BU00590005;OS BERGUM CENTRALE 10-2i;0.9565217391304348;23
BU00590006;OS BERGUM CENTRALE 10-1i;0.8571428571428571;7
BU00590007;OS BERGUM CENTRALE 10-1i;0.8947368421052632;19
BU00590008;OS BERGUM CENTRALE 10-2i;0.9166666666666666;12
BU00590009;OS BERGUM CENTRALE 10-2i;1.0;9
BU00590100;OS BERGUM CENTRALE 10-2i;1.0;9
BU00590102;OS BERGUM CENTRALE 10-1i;1.0;39
BU00590103;OS BERGUM CENTRALE 10-1i;1.0;31
