buurtcode;gemeentecode;scenario;modality;jaar;ev_aantal
BU00140103;GM0014;low;car_bev;2042;257.84043297959937
BU00140103;GM0014;low;car_bev;2043;311.72465321464534
BU00140103;GM0014;low;car_bev;2044;390.25463077595015
BU00140103;GM0014;low;car_bev;2045;519.3166214589544
BU00140103;GM0014;low;car_bev;2046;808.371816884665
BU00140103;GM0014;low;car_bev;2047;1356.5295479736874
BU00140103;GM0014;low;car_bev;2048;1360.8016751090747
BU00140103;GM0014;low;car_bev;2049;1364.799995707711
BU00140103;GM0014;low;car_bev;2050;1368.5264596272264
BU00140104;GM0014;low;car_bev;2025;13.523030111611263
BU00140104;GM0014;low;car_bev;2026;16.85446877724322
BU00140104;GM0014;low;car_bev;2027;20.75078060015851
BU00140104;GM0014;low;car_bev;2028;25.263627720005985
BU00140104;GM0014;low;car_bev;2029;30.452435738103993
BU00140104;GM0014;low;car_bev;2030;36.174876714687194
BU00140104;GM0014;low;car_bev;2031;42.584366744313044
BU00140104;GM0014;low;car_bev;2032;49.57717397554001
BU00140104;GM0014;low;car_bev;2033;57.14489553004172
BU00140104;GM0014;low;car_bev;2034;65.25648263190178
BU00140104;GM0014;low;car_bev;2035;73.8665910552901
BU00140104;GM0014;low;car_bev;2036;82.69094465039173
BU00140104;GM0014;low;car_bev;2037;91.43798755774979
BU00140104;GM0014;low;car_bev;2038;101.28671732595515
BU00140104;GM0014;low;car_bev;2039;112.59709042635403
BU00140104;GM0014;low;car_bev;2040;125.62616695810654
BU00140104;GM0014;low;car_bev;2041;140.08185204451814
BU00140104;GM0014;low;car_bev;2042;164.99517460512763
BU00140104;GM0014;low;car_bev;2043;199.9811387691326
BU00140104;GM0014;low;car_bev;2044;250.98252129797385
BU00140104;GM0014;low;car_bev;2045;334.80482448082876
BU00140104;GM0014;low;car_bev;2046;522.4225913657172
BU00140104;GM0014;low;car_bev;2047;789.3083955097173
BU00140104;GM0014;low;car_bev;2048;793.6660991187453
BU00140104;GM0014;low;car_bev;2049;797.8619494895612
BU00140104;GM0014;low;car_bev;2050;801.897272398111
BU00140105;GM0014;low;car_bev;2025;2.110806953570262
BU00140105;GM0014;low;car_bev;2026;2.644117375398333
BU00140105;GM0014;low;car_bev;2027;3.273688822607008
BU00140105;GM0014;low;car_bev;2028;4.010371375520153
BU00140105;GM0014;low;car_bev;2029;4.86676307831305
BU00140105;GM0014;low;car_bev;2030;5.804319637747697
BU00140105;GM0014;low;car_bev;2031;6.848113297589594
BU00140105;GM0014;low;car_bev;2032;7.982608427218382
BU00140105;GM0014;low;car_bev;2033;9.206685411728945
BU00140105;GM0014;low;car_bev;2034;10.516408222560951
BU00140105;GM0014;low;car_bev;2035;11.904292647196513
BU00140105;GM0014;low;car_bev;2036;13.325357288147869
BU00140105;GM0014;low;car_bev;2037;14.68044690419231
BU00140105;GM0014;low;car_bev;2038;16.20266954071439
BU00140105;GM0014;low;car_bev;2039;17.94817724367195
BU00140105;GM0014;low;car_bev;2040;19.954637627706102
BU00140105;GM0014;low;car_bev;2041;22.174270935286604
BU00140105;GM0014;low;car_bev;2042;26.02989375644795
BU00140105;GM0014;low;car_bev;2043;31.443925833279156
BU00140105;GM0014;low;car_bev;2044;39.33356258024506
BU00140105;GM0014;low;car_bev;2045;52.29983151906141
BU00140105;GM0014;low;car_bev;2046;81.34580011627664
BU00140105;GM0014;low;car_bev;2047;145.059746586651
BU00140105;GM0014;low;car_bev;2048;145.40344328027777
BU00140105;GM0014;low;car_bev;2049;145.71801393230805
BU00140105;GM0014;low;car_bev;2050;146.00365549134065
BU00140106;GM0014;low;car_bev;2025;11.197231581073861
BU00140106;GM0014;low;car_bev;2026;13.99146856600799
BU00140106;GM0014;low;car_bev;2027;17.275171587129776
BU00140106;GM0014;low;car_bev;2028;21.09860602842939
BU00140106;GM0014;low;car_bev;2029;25.519906603858267
BU00140106;GM0014;low;car_bev;2030;30.377337282872315
BU00140106;GM0014;low;car_bev;2031;35.80095367137183
BU00140106;GM0014;low;car_bev;2032;41.70662732619427
BU00140106;GM0014;low;car_bev;2033;48.087916583368525
BU00140106;GM0014;low;car_bev;2034;54.92155953956343
BU00140106;GM0014;low;car_bev;2035;62.168918210393734
BU00140106;GM0014;low;car_bev;2036;69.59297223342124
BU00140106;GM0014;low;car_bev;2037;76.80812106065787
BU00140106;GM0014;low;car_bev;2038;84.92250050061077
BU00140106;GM0014;low;car_bev;2039;94.23406884197315
BU00140106;GM0014;low;car_bev;2040;104.94907152221667
BU00140106;GM0014;low;car_bev;2041;116.81977305586325
BU00140106;GM0014;low;car_bev;2042;137.35935888753824
BU00140106;GM0014;low;car_bev;2043;166.20204864844828
BU00140106;GM0014;low;car_bev;2044;208.24054964881861
BU00140106;GM0014;low;car_bev;2045;277.33051324598097
BU00140106;GM0014;low;car_bev;2046;432.03723415329665
BU00140106;GM0014;low;car_bev;2047;770.313961306679
BU00140106;GM0014;low;car_bev;2048;773.3401575424549
BU00140106;GM0014;low;car_bev;2049;776.2100576349334
BU00140106;GM0014;low;car_bev;2050;778.9248301433043
BU00140107;GM0014;low;car_bev;2025;5.6934968531076375
BU00140107;GM0014;low;car_bev;2026;7.123123284725497
BU00140107;GM0014;low;car_bev;2027;8.806998997666334
BU00140107;GM0014;low;car_bev;2028;10.77253154598937
BU00140107;GM0014;low;car_bev;2029;13.05148563929501
BU00140107;GM0014;low;car_bev;2030;15.550787014286819
BU00140107;GM0014;low;car_bev;2031;18.33731245349484
BU00140107;GM0014;low;car_bev;2032;21.368720097290304
BU00140107;GM0014;low;car_bev;2033;24.64186193622431
BU00140107;GM0014;low;car_bev;2034;28.145514041257332
BU00140107;GM0014;low;car_bev;2035;31.85976029539833
BU00140107;GM0014;low;car_bev;2036;35.66367809295913
BU00140107;GM0014;low;car_bev;2037;39.32559914944887
BU00140107;GM0014;low;car_bev;2038;43.44155061231433
BU00140107;GM0014;low;car_bev;2039;48.16301418963278
BU00140107;GM0014;low;car_bev;2040;53.59322984487583
BU00140107;GM0014;low;car_bev;2041;59.60477947088921
BU00140107;GM0014;low;car_bev;2042;70.02665626947926
BU00140107;GM0014;low;car_bev;2043;84.66126636173503
BU00140107;GM0014;low;car_bev;2044;105.9895131811466
BU00140107;GM0014;low;car_bev;2045;141.04193755516812
BU00140107;GM0014;low;car_bev;2046;219.54745380355916
BU00140107;GM0014;low;car_bev;2047;343.50289695473305
BU00140107;GM0014;low;car_bev;2048;344.5856248831914
BU00140107;GM0014;low;car_bev;2049;345.5990177558739
BU00140107;GM0014;low;car_bev;2050;346.54356941452056
BU00140108;GM0014;low;car_bev;2025;0.028909811193783615
BU00140108;GM0014;low;car_bev;2026;0.0358388491302299
BU00140108;GM0014;low;car_bev;2027;0.043858159555312436
BU00140108;GM0014;low;car_bev;2028;0.05303778130274678
BU00140108;GM0014;low;car_bev;2029;0.06345657444332134
BU00140108;GM0014;low;car_bev;2030;0.07504706607739038
BU00140108;GM0014;low;car_bev;2031;0.08812090910703
BU00140108;GM0014;low;car_bev;2032;0.10244683208336089
BU00140108;GM0014;low;car_bev;2033;0.11800408688422262
BU00140108;GM0014;low;car_bev;2034;0.1347130943643035
BU00140108;GM0014;low;car_bev;2035;0.1524828110473879
BU00140108;GM0014;low;car_bev;2036;0.17071433443926354
BU00140108;GM0014;low;car_bev;2037;0.1895623658415701
BU00140108;GM0014;low;car_bev;2038;0.21083563837634173
BU00140108;GM0014;low;car_bev;2039;0.23530415997733506
BU00140108;GM0014;low;car_bev;2040;0.26355310886646505
BU00140108;GM0014;low;car_bev;2041;0.29498975122372245
BU00140108;GM0014;low;car_bev;2042;0.3487298807493318
BU00140108;GM0014;low;car_bev;2043;0.4242040374040556
BU00140108;GM0014;low;car_bev;2044;0.5342678001039446
BU00140108;GM0014;low;car_bev;2045;0.7151693948522904
BU00140108;GM0014;low;car_bev;2046;0.7226806639973281
BU00140108;GM0014;low;car_bev;2047;0.7296619695724248
BU00140108;GM0014;low;car_bev;2048;0.7360973715296135
BU00140108;GM0014;low;car_bev;2049;0.7423798895745312
BU00140108;GM0014;low;car_bev;2050;0.7485109951938127
BU00140109;GM0014;low;car_bev;2025;0.030339397399395725
BU00140109;GM0014;low;car_bev;2026;0.038047478286590275
BU00140109;GM0014;low;car_bev;2027;0.047165062899752065
BU00140109;GM0014;low;car_bev;2028;0.057857026178117506
BU00140109;GM0014;low;car_bev;2029;0.07031508428381852
BU00140109;GM0014;low;car_bev;2030;0.08393293364929655
BU00140109;GM0014;low;car_bev;2031;0.09907455142502183
BU00140109;GM0014;low;car_bev;2032;0.11551873873312368
BU00140109;GM0014;low;car_bev;2033;0.13325001779410547
BU00140109;GM0014;low;car_bev;2034;0.15221473013713993
BU00140109;GM0014;low;car_bev;2035;0.1723040007982384
BU00140109;GM0014;low;car_bev;2036;0.19286934607343262
BU00140109;GM0014;low;car_bev;2037;0.21231376636080063
BU00140109;GM0014;low;car_bev;2038;0.2341449851566471
BU00140109;GM0014;low;car_bev;2039;0.2591699890396509
BU00140109;GM0014;low;car_bev;2040;0.2879223201936054
BU00140109;GM0014;low;car_bev;2041;0.3197082196428428
BU00140109;GM0014;low;car_bev;2042;0.3750205107534055
BU00140109;GM0014;low;car_bev;2043;0.4526881033312789
BU00140109;GM0014;low;car_bev;2044;0.5658608382845576
BU00140109;GM0014;low;car_bev;2045;0.7518193600252259
BU00140109;GM0014;low;car_bev;2046;0.7537428556865755
BU00140109;GM0014;low;car_bev;2047;0.7555434545307466
BU00140109;GM0014;low;car_bev;2048;0.7567993889154364
BU00140109;GM0014;low;car_bev;2049;0.757904344237034
BU00140109;GM0014;low;car_bev;2050;0.7588592917276997
BU00140110;GM0014;low;car_bev;2025;0.038665825699344444
BU00140110;GM0014;low;car_bev;2026;0.04806569090766326
BU00140110;GM0014;low;car_bev;2027;0.059004328293209916
BU00140110;GM0014;low;car_bev;2028;0.07160316052971472
BU00140110;GM0014;low;car_bev;2029;0.08600074825779547
BU00140110;GM0014;low;car_bev;2030;0.10194422882737685
BU00140110;GM0014;low;car_bev;2031;0.11986163655185353
BU00140110;GM0014;low;car_bev;2032;0.13945018611817364
BU00140110;GM0014;low;car_bev;2033;0.16068403974949744
BU00140110;GM0014;low;car_bev;2034;0.18346582991413032
