Bedrijf;Straat;Nr;Postcode;Stad;Categorie;NettoRuimte;EnergieVerbruik;Warmte_LT;El_MTWP_T40;Warmte_T40;RedCO2_T40;El_HTWP_T70;Warmte_T70;RedCO2_T70;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Datacenter.com;Keienbergweg;22;1101GB;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU0363TA02;GM0363;1101;1101GB;BU0363TA02;GM0363;1101;1101GB;BU0363TA02;GM0363;1101;1101GB;False;False;False;52.30952252198628;4.9360116073890925;WarmteAtlas:DataCentraWarmte;;;
Alticom Goes;Cornelisweg;10;4463AK;Goes;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU06640105;GM0664;4463;4463AK;BU06640105;GM0664;4463;4463AK;BU06640105;GM0664;4463;4463AK;False;False;False;51.510822926930544;3.8844786553836603;WarmteAtlas:DataCentraWarmte;;;
Dataone Datacenter Wormer;Bruynvisweg;11;1531AX;Wormer;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU08800001;GM0880;1531;1531AX;BU08800001;GM0880;1531;1531AX;BU08800001;GM0880;1531;1531AX;False;False;False;52.494910095376476;4.797598709698637;WarmteAtlas:DataCentraWarmte;;;
Dataplace Arnhem;Tivolilaan;251;6802EG;Arnhem;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU02020842;GM0202;6824;6824BV;BU02020842;GM0202;6824;6824BV;BU02020842;GM0202;6824;6824BV;False;False;False;51.9870337875377;5.934014428187629;WarmteAtlas:DataCentraWarmte;;;
Dataplace Rotterdam;van Coulsterweg;6;2952CB;Alblasserdam;Klein;400 - 2000 m2;0 - 9 GWh/jr;<7 GWh;< 2 GWh;< 9 GWh;< 1 kton CO2/jr;< 1 GWh;< 8 GWh;< 1 kton CO2/jr;BU04820502;GM0482;2952;2952CB;BU04820502;GM0482;2952;2952CB;BU04820502;GM0482;2952;2952CB;False;False;False;51.84587577536774;4.67912677195012;WarmteAtlas:DataCentraWarmte;;;
Dataplace Utrecht;Koningin Wilhelminaweg;471;3737BE;Groenekan;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU03100401;GM0310;3737;3737BE;BU03100401;GM0310;3737;3737BE;BU03100401;GM0310;3737;3737BE;False;False;False;52.12321627873341;5.143988890780652;WarmteAtlas:DataCentraWarmte;;;
DCA;Archangelkade;1-3;1013BE;Amsterdam;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;Niet publiek;BU0363BB05;GM0363;1013;1013BE;BU0363BB05;GM0363;1013;1013BE;BU0363BB05;GM0363;1013;1013BE;False;False;False;52.395504194900866;4.871226528219618;WarmteAtlas:DataCentraWarmte;;;
Digital Realty Trust - De President Business Park, Jan Wijsmullerdreef;De President Business Park, Jan Wijsmullerdreef;10;2132PW;Hoofddorp;Middel-groot;10000 - 40000 m2;44 - 175 GWh/jr;34 - 135 GWh;11 - 45 GWh;45 - 180 GWh;6 - 22 kton CO2/jr;7 - 27 GWh;40 - 162 GWh;6 - 24 kton CO2/jr;BU03940126;GM0394;2132;2132PW;BU03940126;GM0394;2132;2132PW;BU03940126;GM0394;2132;2132PW;False;False;False;52.29044410662226;4.67686664516666;WarmteAtlas:DataCentraWarmte;;;
Digital Realty Trust - Naritaweg;Naritaweg;52;1043BZ;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363FA08;GM0363;1043;1043BZ;BU0363FA08;GM0363;1043;1043BZ;BU0363FA08;GM0363;1043;1043BZ;False;False;False;52.38808500249895;4.826759347428581;WarmteAtlas:DataCentraWarmte;;;
Digital Realty Trust - Gyroscoopweg;Gyroscoopweg;2;1042AB;Amsterdam;Middel-klein;2000 - 10000 m2;9 - 44 GWh/jr;7 - 34 GWh;2 - 11 GWh;9 - 45 GWh;1 - 6 kton CO2/jr;1 - 7 GWh;8 - 40 GWh;1 - 6 kton CO2/jr;BU0363BA05;GM0363;1042;1042AB;BU0363BA05;GM0363;1042;1042AB;BU0363BA05;GM0363;1042;1042AB;False;False;False;52.39672347657774;4.838551023161207;WarmteAtlas:DataCentraWarmte;;;
