buurtcode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
BU03020000;2024;91.0;4.0;n.a.;n.a.;n.a.;3.0;1.0;1.0
BU03020001;2022;94.0;1.0;n.a.;n.a.;n.a.;1.0;0.0;1.0
BU03020001;2023;93.0;1.0;n.a.;n.a.;n.a.;1.0;1.0;2.0
BU03020001;2024;91.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;3.0
BU03020002;2022;91.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
BU03020002;2023;47.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;44.0
BU03020002;2024;48.0;2.0;n.a.;n.a.;n.a.;3.0;2.0;43.0
BU03020003;2022;91.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;4.0
BU03020003;2023;88.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
BU03020003;2024;81.0;0.0;n.a.;n.a.;n.a.;5.0;1.0;5.0
BU03020005;2022;68.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;7.0
BU03020005;2023;70.0;0.0;n.a.;n.a.;n.a.;3.0;0.0;7.0
BU03020005;2024;64.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;11.0
BU03020006;2022;66.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;23.0
BU03020006;2023;60.0;0.0;n.a.;n.a.;n.a.;3.0;2.0;28.0
BU03020006;2024;52.0;0.0;n.a.;n.a.;n.a.;3.0;2.0;37.0
BU03020007;2022;71.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
BU03020007;2023;60.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;9.0
BU03020007;2024;59.0;1.0;n.a.;n.a.;n.a.;4.0;2.0;10.0
BU03020008;2022;91.0;2.0;n.a.;n.a.;n.a.;1.0;0.0;3.0
BU03020008;2023;88.0;2.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
BU03020008;2024;85.0;2.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
BU03020009;2022;78.0;0.0;n.a.;n.a.;n.a.;5.0;1.0;6.0
BU03020009;2023;74.0;0.0;n.a.;n.a.;n.a.;6.0;3.0;6.0
BU03020009;2024;69.0;0.0;n.a.;n.a.;n.a.;8.0;3.0;9.0
BU03020100;2022;92.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
BU03020100;2023;86.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;9.0
BU03020100;2024;82.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;13.0
BU03020101;2022;94.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;1.0
BU03020101;2023;95.0;0.0;n.a.;n.a.;n.a.;3.0;0.0;1.0
BU03020101;2024;87.0;0.0;n.a.;n.a.;n.a.;5.0;0.0;8.0
BU03020107;2022;70.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;5.0
BU03020107;2023;68.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;5.0
BU03020107;2024;62.0;0.0;n.a.;n.a.;n.a.;5.0;1.0;5.0
BU03020108;2022;92.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;4.0
BU03020108;2023;85.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;4.0
BU03020108;2024;82.0;0.0;n.a.;n.a.;n.a.;4.0;2.0;5.0
BU03020109;2022;91.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;3.0
BU03020109;2023;85.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;6.0
BU03020109;2024;81.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;9.0
BU03030101;2022;87.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;7.0
BU03030101;2023;82.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;9.0
BU03030101;2024;79.0;1.0;n.a.;n.a.;n.a.;4.0;3.0;11.0
BU03030102;2022;87.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;7.0
BU03030102;2023;82.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;9.0
BU03030102;2024;79.0;1.0;n.a.;n.a.;n.a.;4.0;3.0;11.0
BU03030103;2022;83.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;12.0
BU03030103;2023;77.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;14.0
BU03030103;2024;75.0;0.0;n.a.;n.a.;n.a.;4.0;3.0;15.0
BU03030104;2022;95.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;2.0
BU03030104;2023;89.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;3.0
BU03030104;2024;86.0;0.0;n.a.;n.a.;n.a.;6.0;3.0;5.0
BU03030105;2022;87.0;1.0;n.a.;n.a.;n.a.;2.0;1.0;7.0
BU03030105;2023;82.0;1.0;n.a.;n.a.;n.a.;4.0;1.0;9.0
BU03030105;2024;79.0;1.0;n.a.;n.a.;n.a.;4.0;3.0;11.0
