PK_UID;Vergunning;Naam;Drijverna0;Gemeente;kton2013;kton2014;kton2015;kton2016;kton2017;kton2018;kton2019;kton2020;kton2021;kton2022;kton2023;kton2024;kton2025;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
60;NL-200400084;Dow Benelux B.V. BKG 1;DOW Benelux B.V.;HOEK;768465;883437;877274;873185;870875;851053;669506;780602;3911793;3493676;3219578;3312609;3009025;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;False;False;False;51.33429186416255;3.79031326101713;WarmteAtlas:CO2emissieETSbedrijven;;;
61;NL-200400084a;Dow Benelux B.V. BKG 2;DOW Benelux B.V.;HOEK;747429;745442;719461;696049;597868;728823;762613;676824;0;0;0;0;0;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;False;False;False;51.33429186416255;3.79031326101713;WarmteAtlas:CO2emissieETSbedrijven;;;
62;NL-200400084b;Dow Benelux B.V. BKG 3;DOW Benelux B.V.;HOEK;768903;777761;665277;822941;807123;785781;787628;751117;0;0;0;0;0;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;False;False;False;51.33429186416255;3.79031326101713;WarmteAtlas:CO2emissieETSbedrijven;;;
63;NL-200400084c;Dow Benelux B.V. BKG 4;DOW Benelux B.V.;HOEK;1771;4643;10;611;126;9;9;0;0;0;0;0;0;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;False;False;False;51.33429186416255;3.79031326101713;WarmteAtlas:CO2emissieETSbedrijven;;;
64;NL-200400084d;Dow Benelux B.V. BKG 5;DOW Benelux B.V.;HOEK;7327;8487;7101;6448;6827;6112;5680;5828;0;0;0;0;0;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;False;False;False;51.33429186416255;3.79031326101713;WarmteAtlas:CO2emissieETSbedrijven;;;
65;NL-200400084e;Dow Benelux B.V. BKG 6;DOW Benelux B.V.;HOEK;98647;94974;89787;100823;86769;91800;81881;69653;0;0;0;0;0;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;False;False;False;51.33429186416255;3.79031326101713;WarmteAtlas:CO2emissieETSbedrijven;;;
66;NL-200400084f;Dow Benelux B.V. BKG 7;DOW Benelux B.V.;HOEK;46408;30070;30450;26456;36199;54314;37909;46241;0;0;0;0;0;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;False;False;False;51.33429186416255;3.79031326101713;WarmteAtlas:CO2emissieETSbedrijven;;;
67;NL-200400084g;Dow Benelux B.V. BKG 8;DOW Benelux B.V.;HOEK;75525;67307;65315;63120;61675;63857;65515;66094;0;0;0;0;0;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;False;False;False;51.33429186416255;3.79031326101713;WarmteAtlas:CO2emissieETSbedrijven;;;
68;NL-200400084h;Dow Benelux B.V. BKG 9;DOW Benelux B.V.;HOEK;93075;157765;168729;151523;115862;126888;84816;40706;0;0;0;0;0;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;BU07150601;GM0715;4542.0;4542NM;False;False;False;51.33429186416255;3.79031326101713;WarmteAtlas:CO2emissieETSbedrijven;;;
69;NL-200400085;ESD-SIC bv;ESD-SIC B.V.;FARMSUM;132620;129035;126437;115634;142792;142093;119488;104449;106393;84276;73986;70472;85535;BU19790831;GM1979;9936.0;9936TE;BU19790831;GM1979;9936.0;9936TE;BU19790831;GM1979;9936.0;9936TE;False;False;False;53.29857693846485;6.968354011829416;WarmteAtlas:CO2emissieETSbedrijven;;;
