waterschap;res_gebied;naamgeving;min_uur;med_uur;gj_exwko;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Aa en Maas;Noord-oost Brabant;Heesch;45.0;105.0;5933.92;2543.11;;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.72640170575553;5.510379642871621;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Vorstenbosch;4.18541666667;8.54166666667;236.53;0.0;;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.649803886349844;5.550984913043464;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Loosbroek;3.92;8.0;221.53;0.0;;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.68058172297197;5.506546290279687;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Heeswijk Dinther;23.4383333333;47.8333333333;2703.23;1324.58;;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.647405586750416;5.476980667231124;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Munnekens-Vinkel;17.5379166667;35.7916666667;991.13;0.0;;;GM1721;;;;GM1721;;;;GM1721;;;False;False;False;51.70360106573562;5.487682488050919;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Metropoolregio Eindhoven;Aarle-Rixtel;13.1279166667;26.7916666667;741.9;0.0;;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.5091023757916;5.64737717811158;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Metropoolregio Eindhoven;Lieshout;10.78;22.0;609.21;0.0;;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.521530633337306;5.598836210070667;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Metropoolregio Eindhoven;'t Broek;145.0;354.0;20005.81;8194.47;;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.52841250371707;5.6573194231655;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Metropoolregio Eindhoven;Mariahout;5.53291666668;11.2916666667;312.68;0.0;;;GM1659;;;;GM1659;;;;GM1659;;;False;False;False;51.542414458788755;5.568240551758544;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Reek;6.06375;12.375;342.68;0.0;;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.7465771882754;5.677803545209604;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Zeeland;23.45875;47.875;2705.58;1325.73;;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.70519655319463;5.679932296444449;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Wachthuis;44.1408333333;90.0833333333;5090.93;2494.55;;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.75953852425749;5.68135990843234;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Schaijk;33.4629166667;68.2916666667;3859.4;1891.1;;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.75187290912148;5.638120001537887;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;De Peel;40.73125;83.125;4697.69;2301.86;;;GM1991;;;;GM1991;;;;GM1991;;;False;False;False;51.660716668663355;5.7374841460941575;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Wilbertoord;3.32791666667;6.79166666667;188.07;0.0;;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.65838700138337;5.771569084887069;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Langenboom;7.37041666668;15.0416666667;416.52;0.0;;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.707343470064636;5.728689763113354;WarmteAtlas:TEA_assets_zonder_wko;;;
