PK_UID;type_leid0;jaar;diameter;materiaal;soort_lei0;effluent_z;effluent_w;Shape_Leng;wp_gj_z;wp_gj_w;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;waterschap;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;centroid_lat;centroid_lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
38;1;0;0;;Effluentleiding;60710;77230;298.704384;1268.84;1268.84;Waterschap Brabantse Delta;463127.0;357432.0;Reimerswaal;Zeeland;4670;8342;1868;3337;Zeeland;Waterschap Brabantse Delta;BU07030409;GM0703;4411.0;4411SM;BU07030409;GM0703;4411.0;4411SM;BU07030409;GM0703;4411.0;4411SM;False;False;False;51.4182588211237;4.236429489585953;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
39;1;0;0;;Effluentleiding;60710;77230;12590.781377;1268.84;1268.84;Waterschap Brabantse Delta;463127.0;357432.0;Reimerswaal;Zeeland;4670;8342;1868;3337;Zeeland;Waterschap Brabantse Delta;BU07030409;GM0703;4411.0;4411SH;BU07030409;GM0703;4411.0;4411SH;BU07030409;GM0703;4411.0;4411SH;False;False;False;51.41331589447336;4.148754971275665;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
4;onbekend;0;0;;Effluentleiding;28000;33000;1177.950225;585.2;585.2;Waterschap Aa en Maas;213598.0;164851.0;Oss;Noord-oost Brabant;1996;3689;798;1476;Noord-Brabant;Waterschap Aa en Maas;BU08282009;GM0828;5394.0;5394LP;BU08282009;GM0828;5394.0;5394LP;BU08282009;GM0828;5394.0;5394LP;False;False;False;51.805098298652155;5.489617253233586;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
40;Vrijvervalleiding;1994;1000;Beton;Effluentleiding;3848;3848;15.737586;80.4232;80.4232;Waterschap Scheldestromen;29354.5;22655.2;Terneuzen;Zeeland;233;466;93;186;Zeeland;Waterschap Scheldestromen;BU07152203;GM0715;4538.0;4538BJ;BU07152203;GM0715;4538.0;4538PE;BU07152203;GM0715;4538.0;4538PE;False;False;False;51.29178125301788;3.838067676691607;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
41;Vrijvervalleiding;1994;1000;Beton;Effluentleiding;3848;3848;603.286179;80.4232;80.4232;Waterschap Scheldestromen;29354.5;22655.2;Terneuzen;Zeeland;233;466;93;186;Zeeland;Waterschap Scheldestromen;BU07152204;GM0715;4538.0;4538BJ;BU07152204;GM0715;4538.0;4538BJ;BU07152204;GM0715;4538.0;4538BJ;False;False;False;51.294152020602695;3.838239964366641;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
42;Vrijvervalleiding;1994;1000;Beton;Effluentleiding;3848;3848;2.446959;80.4232;80.4232;Waterschap Scheldestromen;29354.5;22655.2;Terneuzen;Zeeland;233;466;93;186;Zeeland;Waterschap Scheldestromen;BU07152203;GM0715;4538.0;4538BJ;BU07152203;GM0715;4538.0;4538PE;BU07152203;GM0715;4538.0;4538PE;False;False;False;51.29185304803357;3.8380719988641827;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
43;Vrijvervalleiding;1988;600;Asbestcement;Effluentleiding;1632;1632;222.507074;34.1088;34.1088;Waterschap Scheldestromen;12449.7;9608.45;Sluis;Zeeland;99;198;40;79;Zeeland;Waterschap Scheldestromen;BU17141108;GM1714;4513.0;4513KM;BU17141108;GM1714;4513.0;4513KM;BU17141108;GM1714;4513.0;4513KM;False;False;False;51.38474962205019;3.5976938030643426;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
44;Vrijvervalleiding;1988;600;Asbestcement;Effluentleiding;1632;1632;164.164699;34.1088;34.1088;Waterschap Scheldestromen;12449.7;9608.45;Sluis;Zeeland;99;198;40;79;Zeeland;Waterschap Scheldestromen;BU17141009;GM1714;4511.0;4511PR;BU17141009;GM1714;4511.0;4511PR;BU17141009;GM1714;4511.0;4511PR;False;False;False;51.38556581709161;3.587650711114983;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
45;Vrijvervalleiding;1988;600;Asbestcement;Effluentleiding;1632;1632;552.932154;34.1088;34.1088;Waterschap Scheldestromen;12449.7;9608.45;Sluis;Zeeland;99;198;40;79;Zeeland;Waterschap Scheldestromen;BU17141108;GM1714;4513.0;4513KM;BU17141108;GM1714;4513.0;4513KM;BU17141108;GM1714;4513.0;4513KM;False;False;False;51.38556159514724;3.5923147537102085;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
46;overig;1975;298;Staal;Effluentleiding;0;0;10.000224;0.0;0.0;Waterschap Rivierenland;0.0;0.0;Heumen;Arnhem/Nijmegen;0;0;0;0;Gelderland;Waterschap Rivierenland;BU02520104;GM0252;6611.0;6611AM;BU02520104;GM0252;6611.0;6611AM;BU02520104;GM0252;6611.0;6611AM;False;False;False;51.75624641363918;5.801595535795084;WarmteAtlas:AquathermieEffluent;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:41;
