PK_UID;ID;GRIDCODE;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
42;42;4500;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.45602731518778;5.806795106355824;MULTIPOLYGON (((5.813389 53.453784, 5.800473 53.45514, 5.806523 53.459158, 5.813389 53.453784)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
43;43;1000;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.44709634679236;6.823636350760935;MULTIPOLYGON (((6.82548 53.445951, 6.821718 53.445996, 6.821793 53.448242, 6.825555 53.448197, 6.82548 53.445951)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
44;44;1500;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.44705471486401;6.8271230461458075;MULTIPOLYGON (((6.82548 53.445951, 6.825555 53.448197, 6.830335 53.447016, 6.82548 53.445951)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
45;45;1500;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.44697649435865;6.841192608683906;MULTIPOLYGON (((6.844287 53.445725, 6.835671 53.446772, 6.840601 53.448016, 6.844363 53.447971, 6.844287 53.445725)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
46;46;1500;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.44925299226592;6.861819760455284;MULTIPOLYGON (((6.870617 53.445404, 6.864662 53.446394, 6.853743 53.450831, 6.85204 53.452371, 6.864363 53.451057, 6.870617 53.445404)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
47;47;5000;BU00609998;GM0060;BU00609998;GM0060;BU00609998;GM0060;False;False;53.45319792002164;5.615818890932564;MULTIPOLYGON (((5.613931 53.452078, 5.613943 53.454325, 5.617706 53.454317, 5.617694 53.452071, 5.613931 53.452078)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
48;48;1500;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.44425765710864;6.872458616953052;MULTIPOLYGON (((6.8743 53.443112, 6.870539 53.443158, 6.870617 53.445404, 6.874378 53.445357, 6.8743 53.443112)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
49;49;4500;BU00600001;GM0060;BU00600001;GM0060;BU00600001;GM0060;False;False;53.4562146581527;5.832146348549783;MULTIPOLYGON (((5.817242 53.462755, 5.828533 53.462714, 5.829736 53.456726, 5.835327 53.455196, 5.843613 53.464904, 5.847377 53.46489, 5.845251 53.452701, 5.832306 53.448224, 5.819262 53.452621, 5.817242 53.462755)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
5;5;2500;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.534568288140306;6.50373485290119;MULTIPOLYGON (((6.500412 53.534756, 6.500471 53.537001, 6.50424 53.536967, 6.50848 53.53168, 6.50164 53.533253, 6.500412 53.534756)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
50;50;1500;BU19661401;GM1966;BU19661401;GM1966;BU19661401;GM1966;False;False;53.440073098354965;6.836373197304983;MULTIPOLYGON (((6.832851 53.44137, 6.84147 53.440355, 6.834799 53.438494, 6.832851 53.44137)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
6;6;3500;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.50425601533715;6.247175012279638;MULTIPOLYGON (((6.243385 53.50316, 6.24343 53.505406, 6.250965 53.505352, 6.25092 53.503106, 6.243385 53.50316)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
7;7;4000;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.496001771626574;6.152206790764759;MULTIPOLYGON (((6.149046 53.494808, 6.149085 53.497054, 6.152852 53.49703, 6.157722 53.495696, 6.149046 53.494808)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
8;8;3000;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.48812898501014;6.139511117681579;MULTIPOLYGON (((6.137589 53.485895, 6.137628 53.488141, 6.137667 53.490387, 6.141434 53.490363, 6.141355 53.485871, 6.137589 53.485895)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
9;9;4000;BU00880009;GM0088;BU00880009;GM0088;BU00880009;GM0088;False;False;53.48480673248499;6.131920797972329;MULTIPOLYGON (((6.133784 53.483672, 6.130019 53.483695, 6.130057 53.485941, 6.133823 53.485918, 6.133784 53.483672)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
100;100;2000;BU19660901;GM1966;BU19660901;GM1966;BU19660901;GM1966;False;False;53.411814958722225;6.559340111285992;MULTIPOLYGON (((6.557352 53.410665, 6.558713 53.413391, 6.561956 53.411389, 6.557352 53.410665)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
101;101;1000;BU19661301;GM1966;BU19661301;GM1966;BU19661301;GM1966;False;False;53.40992474724517;6.739600754656243;MULTIPOLYGON (((6.74152 53.408734, 6.736962 53.409554, 6.74032 53.411486, 6.74152 53.408734)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
102;102;4500;BU00930418;GM0093;BU00930418;GM0093;BU00930418;GM0093;False;False;53.41521919874019;5.337393396521705;MULTIPOLYGON (((5.335515 53.414095, 5.335512 53.416342, 5.339272 53.416343, 5.339275 53.414097, 5.335515 53.414095)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
103;103;2500;BU19709997;GM1970;BU19709997;GM1970;BU19709997;GM1970;False;False;53.41280970005241;6.173694720198401;MULTIPOLYGON (((6.170127 53.41156, 6.172271 53.414465, 6.178686 53.412404, 6.170127 53.41156)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
104;104;2500;BU19700307;GM1970;BU19700307;GM1970;BU19700307;GM1970;False;False;53.41271390105266;6.185383555840151;MULTIPOLYGON (((6.188923 53.411436, 6.180295 53.412404, 6.186933 53.414302, 6.188923 53.411436)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
105;105;2000;BU19660301;GM1966;BU19660301;GM1966;BU19660301;GM1966;False;False;53.41100271695386;6.401410087647243;MULTIPOLYGON (((6.399426 53.40985, 6.400777 53.412578, 6.404027 53.41058, 6.399426 53.40985)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
106;106;2000;BU19660901;GM1966;BU19660901;GM1966;BU19660901;GM1966;False;False;53.40938622397983;6.552299861981913;MULTIPOLYGON (((6.557352 53.410665, 6.554607 53.40767, 6.544941 53.409823, 6.557352 53.410665)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
107;107;4500;BU00930418;GM0093;BU00930418;GM0093;BU00930418;GM0093;False;False;53.412966822596175;5.324237487320371;MULTIPOLYGON (((5.32048 53.411842, 5.320476 53.414088, 5.327996 53.414092, 5.327999 53.411846, 5.32048 53.411842)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
108;108;3000;BU19709997;GM1970;BU19709997;GM1970;BU19709997;GM1970;False;False;53.41046122335838;6.166347414984434;MULTIPOLYGON (((6.162568 53.409362, 6.162609 53.411609, 6.170127 53.41156, 6.170086 53.409314, 6.162568 53.409362)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
109;109;1000;BU19661204;GM1966;BU19661204;GM1966;BU19661204;GM1966;False;False;53.408572390963634;6.675135604214075;MULTIPOLYGON (((6.685009 53.404863, 6.664643 53.407156, 6.669824 53.412744, 6.682752 53.410066, 6.685009 53.404863)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
110;110;4500;BU00930215;GM0093;BU00930215;GM0093;BU00930215;GM0093;False;False;53.410710577305665;5.307323584190383;MULTIPOLYGON (((5.312965 53.409591, 5.301687 53.409584, 5.301682 53.41183, 5.312961 53.411837, 5.312965 53.409591)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
111;111;4000;BU00930215;GM0093;BU00930215;GM0093;BU00930215;GM0093;False;False;53.41071532049401;5.3148423319365685;MULTIPOLYGON (((5.312965 53.409591, 5.312961 53.411837, 5.31672 53.41184, 5.316724 53.409593, 5.312965 53.409591)));WarmteAtlas:WKOopenWarmteOpslag;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:54:40;
