P50;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
14.123241;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53700200705979;6.646587932598784;MULTIPOLYGON (((6.638917 53.532589, 6.63918 53.541572, 6.65426 53.541414, 6.653994 53.532432, 6.638917 53.532589)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
14.498171;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53684364650521;6.661666723071537;MULTIPOLYGON (((6.653994 53.532432, 6.65426 53.541414, 6.669341 53.541255, 6.669072 53.532272, 6.653994 53.532432)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
13.985072;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.53668340188508;6.676745385219381;MULTIPOLYGON (((6.669072 53.532272, 6.669341 53.541255, 6.684421 53.541094, 6.684149 53.532111, 6.669072 53.532272)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
3.903499;BU00889998;GM0088;BU00889998;GM0088;BU00889998;GM0088;False;False;53.53102564369641;6.314630520434692;MULTIPOLYGON (((6.306995 53.526592, 6.307188 53.535575, 6.322268 53.535459, 6.322071 53.526476, 6.306995 53.526592)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
4.341932;BU00889998;GM0088;BU00889998;GM0088;BU00889998;GM0088;False;False;53.53090877132318;6.3297085876706785;MULTIPOLYGON (((6.322071 53.526476, 6.322268 53.535459, 6.337347 53.535341, 6.337148 53.526358, 6.322071 53.526476)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
5.465219;BU00889998;GM0088;BU00889998;GM0088;BU00889998;GM0088;False;False;53.5307900147592;6.344786560021137;MULTIPOLYGON (((6.337148 53.526358, 6.337347 53.535341, 6.352427 53.535222, 6.352224 53.526238, 6.337148 53.526358)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.6138;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.565569012059534;6.481402094205785;MULTIPOLYGON (((6.473743 53.561146, 6.473971 53.570129, 6.489063 53.569992, 6.488831 53.561009, 6.473743 53.561146)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
7.437907;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56543126808841;6.496491690896233;MULTIPOLYGON (((6.488831 53.561009, 6.489063 53.569992, 6.504154 53.569853, 6.503919 53.56087, 6.488831 53.561009)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
7.467601;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56529163820635;6.511581175705699;MULTIPOLYGON (((6.503919 53.56087, 6.504154 53.569853, 6.519245 53.569713, 6.519007 53.56073, 6.503919 53.56087)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
7.640824;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56515012244205;6.526670547114056;MULTIPOLYGON (((6.519007 53.56073, 6.519245 53.569713, 6.534336 53.56957, 6.534095 53.560587, 6.519007 53.56073)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
