X;Y;BronNaam;BronTemp;TypeBron;MWth;Status;CapFactor;VolFactor;ProdKost;UitMin;UitMax;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
229466;439437;Hawi Hawiva In  en Verkoop BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU15090300;GM1509;7051.0;7051CN;BU15090300;GM1509;7051.0;7051CN;BU15090300;GM1509;7051.0;7051CN;False;False;False;51.938396969689094;6.470114900353445;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
123683;482348;Van der Zee Vlees BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU04370002;GM0437;1114.0;1114AE;BU04370002;GM0437;1114.0;1114AE;BU04370002;GM0437;1114.0;1114AE;False;False;False;52.32817651218534;4.927797810249768;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
184905;440719;Baltussen Konservenfabriek BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU17341806;GM1734;6665.0;6665CA;BU17341806;GM1734;6665.0;6665CA;BU17341806;GM1734;6665.0;6665CA;False;False;False;51.954103740027975;5.822235131549279;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
187115;436193;H J  Heinz Holding BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU17340601;GM1734;6662.0;6662BC;BU17340601;GM1734;6662.0;6662BC;BU17340601;GM1734;6662.0;6662BC;False;False;False;51.913300715533204;5.853960269576416;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
187115;436193;H J  Heinz Supply Chain Europe BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU17340601;GM1734;6662.0;6662BC;BU17340601;GM1734;6662.0;6662BC;BU17340601;GM1734;6662.0;6662BC;False;False;False;51.913300715533204;5.853960269576416;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
128533;503875;Hesseling Vlees BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU04390505;GM0439;1446.0;1446RJ;BU04390505;GM0439;1446.0;1446RJ;BU04390505;GM0439;1446.0;1446RJ;False;False;False;52.52190082897325;4.997243776326839;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
127894;501709;Uitsnijderij Dao BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU04390503;GM0439;1445.0;1445EL;BU04390503;GM0439;1445.0;1445EL;BU04390503;GM0439;1445.0;1445EL;False;False;False;52.50240342938352;4.988004994547334;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
168188;475404;Co0peratieve Pelsdierenfokkers Centrale Flevo BA;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU02730004;GM0273;3881.0;3881LA;BU02730004;GM0273;3881.0;3881LA;BU02730004;GM0273;3881.0;3881LA;False;False;False;52.266499265804846;5.580396912794383;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
168286;475482;Trouw Nutrition Nederland BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU02730004;GM0273;3881.0;3881LA;BU02730004;GM0273;3881.0;3881LA;BU02730004;GM0273;3881.0;3881LA;False;False;False;52.267197949070706;5.5818355916524265;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
215579;489199;Booijink Veevoeders BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU01770101;GM0177;8102.0;8102EM;BU01770101;GM0177;8102.0;8102EM;BU01770101;GM0177;8102.0;8102EM;False;False;False;52.387296626926926;6.277067731132356;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
