codering;categorie;scenario;jaar;ev_aantal;totaal
BU05051106;vrachtauto;low;2025;0.0655681117872049;0.0
BU05051108;vrachtauto;low;2025;0.0655681117872049;0.0
BU05051109;vrachtauto;low;2025;0.0655681117872049;0.0
BU05051900;vrachtauto;low;2025;0.075023322545471;0.0
BU05051901;vrachtauto;low;2025;0.2724426928040817;0.0
BU05051902;vrachtauto;low;2025;0.075023322545471;0.0
BU05051905;vrachtauto;low;2025;0.075023322545471;0.0
BU05051906;vrachtauto;low;2025;0.0398475367625781;0.0
BU05051907;vrachtauto;low;2025;2.5853909972504896;0.0
BU05051910;vrachtauto;low;2025;1.750866055100015;1.0
BU05051914;vrachtauto;low;2025;0.075023322545471;0.0
BU05051915;vrachtauto;low;2025;0.075023322545471;0.0
BU05051919;vrachtauto;low;2025;0.075023322545471;0.0
BU05059800;vrachtauto;low;2025;0.075023322545471;0.0
BU05059804;vrachtauto;low;2025;0.075023322545471;0.0
BU00140000;vrachtauto;low;2025;0.0348255403286082;0.0
BU00140003;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140005;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140100;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140102;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140200;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140201;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140202;vrachtauto;low;2025;0.075023322545471;0.0
BU00140203;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140301;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140302;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140404;vrachtauto;low;2025;0.075023322545471;0.0
BU00140500;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140502;vrachtauto;low;2025;0.7199823030317819;0.0
BU00140503;vrachtauto;low;2025;0.075023322545471;0.0
BU00140505;vrachtauto;low;2025;0.075023322545471;0.0
BU00140506;vrachtauto;low;2025;0.6872558347121556;0.0
BU00140507;vrachtauto;low;2025;1.4399646060635638;0.0
BU00140508;vrachtauto;low;2025;0.8999778787897275;0.0
BU00140510;vrachtauto;low;2025;0.075023322545471;0.0
BU00140600;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140601;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140602;vrachtauto;low;2025;0.0655681117872049;0.0
BU00140705;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141000;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141100;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141101;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141103;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141104;vrachtauto;low;2025;0.075023322545471;0.0
BU00141105;vrachtauto;low;2025;0.075023322545471;0.0
BU00141106;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141201;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141202;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141203;vrachtauto;low;2025;0.2315345917993525;0.0
BU00141204;vrachtauto;low;2025;0.2198431164218226;0.0
BU00141209;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141211;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141300;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141301;vrachtauto;low;2025;0.2881600612576201;0.0
BU00141405;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141504;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141603;vrachtauto;low;2025;0.075023322545471;0.0
BU00141700;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141701;vrachtauto;low;2025;0.075023322545471;0.0
BU00141702;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141703;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141706;vrachtauto;low;2025;0.075023322545471;0.0
BU00141708;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141800;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141801;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141802;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141900;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141901;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141902;vrachtauto;low;2025;0.0655681117872049;0.0
BU00141903;vrachtauto;low;2025;0.0655681117872049;0.0
BU05230101;vrachtauto;low;2025;0.0655681117872049;0.0
BU05230102;vrachtauto;low;2025;0.075023322545471;0.0
BU05230103;vrachtauto;low;2025;0.0655681117872049;0.0
BU05230106;vrachtauto;low;2025;0.9408859641892604;0.0
BU05230107;vrachtauto;low;2025;2.3072160165336646;0.0
BU05230201;vrachtauto;low;2025;0.2536301294771049;0.0
BU05230301;vrachtauto;low;2025;0.075023322545471;0.0
BU05230302;vrachtauto;low;2025;0.075023322545471;0.0
BU05230303;vrachtauto;low;2025;0.0655681117872049;0.0
BU05230305;vrachtauto;low;2025;0.075023322545471;0.0
BU05230306;vrachtauto;low;2025;0.075023322545471;0.0
BU05230401;vrachtauto;low;2025;0.075023322545471;0.0
BU05230402;vrachtauto;low;2025;0.075023322545471;0.0
BU05230403;vrachtauto;low;2025;0.0655681117872049;0.0
BU05310102;vrachtauto;low;2025;0.075023322545471;0.0
BU05310103;vrachtauto;low;2025;0.075023322545471;0.0
BU05310301;vrachtauto;low;2025;0.0655681117872049;0.0
BU05310302;vrachtauto;low;2025;0.075023322545471;0.0
BU05310501;vrachtauto;low;2025;0.8345249421504746;0.0
BU05310502;vrachtauto;low;2025;0.075023322545471;0.0
BU05900102;vrachtauto;low;2025;0.2023542210957607;0.0
BU05900103;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900105;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900106;vrachtauto;low;2025;0.075023322545471;0.0
BU05900107;vrachtauto;low;2025;0.075023322545471;0.0
BU05900201;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900301;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900302;vrachtauto;low;2025;0.0307425680489795;0.0
BU05900402;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900501;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900502;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900503;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900504;vrachtauto;low;2025;0.0351757818815938;0.0
BU05900601;vrachtauto;low;2025;0.075023322545471;0.0
BU05900602;vrachtauto;low;2025;1.8490454600588944;0.0
BU05900703;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900705;vrachtauto;low;2025;0.075023322545471;0.0
BU05900801;vrachtauto;low;2025;0.0655681117872049;0.0
BU05900902;vrachtauto;low;2025;0.075023322545471;0.0
BU06420101;vrachtauto;low;2025;0.0655681117872049;0.0
