diam;ash;kw;x;y;land;lat;lon;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd
31.0;40.0;225.0;167053.755918;577056.378331;NL;53.180050555286144;5.567499286058838;BU19492806;GM1949;BU19492806;GM1949;BU19492806;GM1949;False;False
31.0;30.0;300.0;167217.1319;570777.2029;NL;53.12362410613478;5.569704892923518;BU19002014;GM1900;BU19002014;GM1900;BU19002014;GM1900;False;False
31.0;31.0;300.0;167970.4762;581338.8688;NL;53.218509678707484;5.58138368128816;BU19494200;GM1949;BU19494200;GM1949;BU19494200;GM1949;False;False
31.0;30.0;600.0;172780.4282;588818.3588;NL;53.28557736271183;5.653805776797396;BU19491600;GM1949;BU19491600;GM1949;BU19491600;GM1949;False;False
31.0;30.0;600.0;174345.5486;569792.0643;NL;53.11456228136283;5.676128057070819;BU19002015;GM1900;BU19002015;GM1900;BU19002015;GM1900;False;False
31.0;30.0;250.0;175645.5392;582226.7995;NL;53.22624705121306;5.696339943067723;BU19491900;GM1949;BU19491900;GM1949;BU19491900;GM1949;False;False
31.0;36.0;600.0;182822.4157;592182.9848;NL;53.31538021326114;5.8046638138515245;BU19700808;GM1970;BU19700808;GM1970;BU19700808;GM1970;False;False
31.0;30.0;250.0;186952.1916;591563.3842;NL;53.309581872161544;5.866564329673034;BU19701009;GM1970;BU19701009;GM1970;BU19701009;GM1970;False;False
31.0;30.0;250.0;187005.9814;591409.6443;NL;53.308197296445;5.867355885258923;BU19701009;GM1970;BU19701009;GM1970;BU19701009;GM1970;False;False
31.0;30.0;300.0;193984.7062;599134.1898;NL;53.37713665822834;5.972988015677596;BU19700506;GM1970;BU19700506;GM1970;BU19700506;GM1970;False;False
31.0;31.0;300.0;197941.4567;597728.7023;NL;53.36420474032721;6.032248886813955;BU19700108;GM1970;BU19700108;GM1970;BU19700108;GM1970;False;False
31.0;30.0;300.0;229338.9282;594645.5431;NL;53.33305301494159;6.503096444108224;BU19660606;GM1966;BU19660606;GM1966;BU19660606;GM1966;False;False
31.0;30.0;300.0;177205.9153;567280.9151;NL;53.09188703954616;5.718673752216364;BU19001904;GM1900;BU19001904;GM1900;BU19001904;GM1900;False;False
33.4;40.0;300.0;174800.0748;524467.1105;NL;52.707243027232316;5.680167427657285;BU01710943;GM0171;BU01710943;GM0171;BU01710943;GM0171;False;False
33.4;40.0;300.0;171309.6641;556452.2659;NL;52.99479251076987;5.630116790442556;BU19000503;GM1900;BU19000503;GM1900;BU19000503;GM1900;False;False
33.4;40.0;300.0;173022.9626;551945.8779;NL;52.9542428826395;5.655384162935224;BU19001204;GM1900;BU19001204;GM1900;BU19001204;GM1900;False;False
33.4;40.0;300.0;177181.9716;583262.304;NL;53.23548996456343;5.719416630884384;BU19492000;GM1949;BU19492000;GM1949;BU19492000;GM1949;False;False
33.4;40.0;300.0;178459.9317;585194.871;NL;53.252800186539304;5.7386970187608615;BU00806302;GM0080;BU00806302;GM0080;BU00806302;GM0080;False;False
33.4;40.3;300.0;180684.3529;584808.4937;NL;53.24922626216775;5.771992860554009;BU00806210;GM0080;BU00806210;GM0080;BU00806210;GM0080;False;False
33.4;30.0;300.0;183591.2408;584858.3424;NL;53.24952665953137;5.815545171086727;BU00806210;GM0080;BU00806210;GM0080;BU00806210;GM0080;False;False
54.0;60.0;850.0;184088.146;564653.1528;NL;53.067946169743244;5.8211658313255095;BU00740901;GM0074;BU00740901;GM0074;BU00740901;GM0074;False;False
33.4;30.0;300.0;185246.2706;595491.9853;NL;53.34497962769973;5.841344352879245;BU19700807;GM1970;BU19700807;GM1970;BU19700807;GM1970;False;False
33.4;30.0;300.0;185257.396;596478.1715;NL;53.353839786621755;5.84160490957292;BU19700807;GM1970;BU19700807;GM1970;BU19700807;GM1970;False;False
