buurtcode;bestelautos_totaal;vrachtautos_totaal;bestelautos_ondergrens;bestelautos_bovengrens;vrachtautos_ondergrens;vrachtautos_bovengrens;bedrijfswagens_gewicht_methode;bedrijfswagens_pc4_gelijk_verdeeld;bedrijfswagens_pc4_dekkingsklasse;bedrijfswagens_rdw_peildatum;bedrijfswagens_cbs_split_periode
BU01060002;0;0;0;19;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060003;1;0;1;20;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060004;0;0;0;10;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060005;1;0;1;19;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060006;0;0;0;8;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060007;0;0;0;6;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060008;0;0;0;19;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060009;0;0;0;119;0;3;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060010;0;0;0;13;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060011;0;0;0;16;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060012;1;0;1;36;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060100;8;0;8;15;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060101;8;0;8;21;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060102;14;0;14;16;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060103;9;0;9;11;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060104;34;1;6;34;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060105;9;0;8;9;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060200;8;0;8;36;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060201;59;1;19;59;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060202;16;0;16;38;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060203;8;0;8;30;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060204;66;1;28;66;1;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060205;24;0;24;43;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060302;2;0;2;14;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060303;0;0;0;24;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060304;0;0;0;19;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060305;0;0;0;9;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060306;0;0;0;9;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060307;0;0;0;10;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060308;0;0;0;6;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060309;0;0;0;12;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060310;0;0;0;8;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060311;0;0;0;5;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060400;78;1;10;78;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060401;17;0;17;19;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060402;17;0;16;17;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060403;17;0;17;23;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060500;0;0;0;17;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060501;0;0;0;19;0;1;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU01060502;0;0;0;15;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060503;0;0;0;11;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060504;0;0;0;6;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060505;0;0;0;3;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060506;0;0;0;7;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060507;958;29;14;958;0;29;oppervlakte;False;1.0;2026-07-08;2023JJ00
BU01060508;0;0;0;12;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060509;0;0;0;15;0;0;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU01060600;15;0;15;21;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060601;45;1;26;45;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060602;30;1;30;33;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060603;58;1;35;58;1;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060604;15;0;15;39;0;1;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060700;1;0;1;72;0;8;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060701;0;0;0;25;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060702;0;0;0;16;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060703;0;0;0;16;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060704;0;0;0;16;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060705;0;0;0;25;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060706;2;0;2;21;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060707;0;0;0;17;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060708;3;0;3;16;0;2;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060709;2;0;2;11;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060710;1;0;1;43;0;5;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060711;1;0;1;12;0;1;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060712;1;0;1;32;0;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060713;30;1;30;31;1;2;bedrijfsvestigingen_totaal;False;3.0;2026-07-08;2023JJ00
BU01060714;0;0;0;28;0;3;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060715;0;0;0;65;0;7;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060716;0;0;0;39;0;4;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060717;0;0;0;20;0;2;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060800;7;0;7;12;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060801;66;0;13;66;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060802;52;0;13;52;0;0;bedrijfsvestigingen_totaal;False;2.0;2026-07-08;2023JJ00
BU01060803;7;0;7;17;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060804;13;0;13;18;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060805;7;0;7;12;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060806;7;0;7;11;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060807;7;0;7;11;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060808;52;0;9;52;0;0;bedrijfsvestigingen_totaal;False;1.0;2026-07-08;2023JJ00
BU01060809;0;0;0;5;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060810;0;0;0;6;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
BU01060811;0;0;0;9;0;0;bedrijfsvestigingen_hj;False;1.0;2026-07-08;2023JJ00
