gemeentecode;bestelauto_buurtsom_actueel;vrachtauto_buurtsom_actueel;bestelauto_cbs2023;vrachtauto_cbs2023;bestelauto_afwijking_pct;vrachtauto_afwijking_pct
GM0262;1954;119;1856.0;115.0;5.280172413793103;3.4782608695652173
GM0263;3113;275;2587.0;218.0;20.33243138770777;26.146788990825687
GM0267;2946;317;3109.0;328.0;-5.242843357992924;-3.3536585365853657
GM0268;4559;405;4837.0;423.0;-5.7473640686375855;-4.25531914893617
GM0269;2171;320;1858.0;218.0;16.846071044133478;46.788990825688074
GM0273;2463;190;2120.0;165.0;16.17924528301887;15.151515151515152
GM0274;1077;48;1146.0;50.0;-6.020942408376963;-4.0
GM0275;1895;45;1715.0;56.0;10.495626822157435;-19.642857142857142
GM0277;1511;83;31.0;7.0;4774.193548387097;1085.7142857142858
GM0279;1078;76;803.0;57.0;34.24657534246575;33.333333333333336
GM0281;2669;195;2883.0;225.0;-7.422823447797433;-13.333333333333334
GM0285;1888;152;1612.0;125.0;17.121588089330025;21.6
GM0289;1025;53;953.0;44.0;7.555089192025184;20.454545454545453
GM0293;518;5;566.0;16.0;-8.480565371024735;-68.75
GM0294;1694;124;1551.0;118.0;9.21985815602837;5.084745762711864
GM0296;2874;234;2415.0;185.0;19.006211180124225;26.486486486486488
GM0297;3065;223;2482.0;234.0;23.489121676067686;-4.700854700854701
GM0299;2209;108;2274.0;102.0;-2.8583992963940195;5.882352941176471
GM0301;1729;134;1692.0;133.0;2.186761229314421;0.7518796992481203
GM0302;1935;110;2186.0;112.0;-11.482159194876488;-1.7857142857142858
GM0303;2578;157;2546.0;155.0;1.2568735271013354;1.2903225806451613
GM0307;25708;569;18718.0;343.0;37.34373330484026;65.88921282798835
GM0308;883;17;895.0;20.0;-1.3407821229050279;-15.0
GM0310;1943;122;1785.0;102.0;8.8515406162465;19.607843137254903
GM0312;548;25;861.0;41.0;-36.35307781649245;-39.02439024390244
GM0313;821;98;1607.0;219.0;-48.91101431238332;-55.25114155251141
GM0317;796;47;758.0;45.0;5.013192612137203;4.444444444444445
GM0321;14347;608;9582.0;170.0;49.7286579002296;257.6470588235294
GM0327;1560;40;1184.0;32.0;31.756756756756758;25.0
GM0331;1935;177;1650.0;159.0;17.272727272727273;11.320754716981131
GM0335;1371;117;1211.0;103.0;13.212221304706853;13.592233009708737
GM0339;866;61;721.0;50.0;20.110957004160888;22.0
GM0340;1319;64;1315.0;62.0;0.3041825095057034;3.225806451612903
GM0342;2249;183;2157.0;169.0;4.265183124710246;8.284023668639053
GM0344;13252;815;15910.0;1083.0;-16.70647391577624;-24.746075715604803
GM0345;3541;222;3237.0;179.0;9.391411801050355;24.022346368715084
GM0351;1167;45;1157.0;45.0;0.8643042350907519;0.0
GM0352;1192;45;1151.0;44.0;3.5621198957428324;2.272727272727273
GM0353;1377;66;1278.0;60.0;7.746478873239437;10.0
GM0355;1892;44;2014.0;48.0;-6.05759682224429;-8.333333333333334
