PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
42;Interxion;Pudongweg;37;Rozenburg;1437 EM;5;Middel-klein;5000-10K;12-25;44-176;30-120;60-240;25-30;(4) uitkoppeling pas mogelijk na een grote investering;111062;476659;BU03940678;GM0394;1437;1437EM;BU03940678;GM0394;1437;1437EM;BU03940678;GM0394;1437;1437EM;False;False;False;52.276184483154104;4.743404044853304;WarmteAtlas:DataCentraWarmte_2021;;;
43;Interxion;Science Park;121;Amsterdam;1098 XG;4;Middel-klein;2000-5000;2,5-5;8,8-22;6-15;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;125401;485445;BU0363MN04;GM0363;1098;1098XG;BU0363MN04;GM0363;1098;1098XG;BU0363MN04;GM0363;1098;1098XG;False;False;False;52.356105675725836;4.952727093407854;WarmteAtlas:DataCentraWarmte_2021;;;
44;Interxion;Pudongweg;25;Rozenburg;1437 EM;6;Middel-groot;10K-40K;25-100;44-176;30-120;60-240;25-30;(4) uitkoppeling pas mogelijk na een grote investering;110907;476577;BU03940678;GM0394;1437;1437EM;BU03940678;GM0394;1437;1437EM;BU03940678;GM0394;1437;1437EM;False;False;False;52.275435137298054;4.741143755491516;WarmteAtlas:DataCentraWarmte_2021;;;
45;Digital Realty;Jan Wijsmullerdreef;4, 10;Hoofddorp;2132 PW;4;Middel-klein;2000-5000;25-100;8,8-22;6-15;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;106537;478288;BU03940126;GM0394;2132;2132PW;BU03940126;GM0394;2132;2132PW;BU03940126;GM0394;2132;2132PW;False;False;False;52.29044490566163;4.6768724807507365;WarmteAtlas:DataCentraWarmte_2021;;;
46;Digital Realty;Science Park;120;Amsterdam;1098 XG;5;Middel-klein;5000-10K;12-25;8,8-22;6-15;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;125281;485551;BU0363MN04;GM0363;1098;1098XG;BU0363MN04;GM0363;1098;1098XG;BU0363MN04;GM0363;1098;1098XG;False;False;False;52.35705186026671;4.950956324383558;WarmteAtlas:DataCentraWarmte_2021;;;
47;Digital Realty;H.J.E. Wenckebachweg;127;Amsterdam;1096 AM;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;123975;483272;BU0363MQ07;GM0363;1096;1096AM;BU0363MQ07;GM0363;1096;1096AM;BU0363MQ07;GM0363;1096;1096AM;False;False;False;52.33649742700797;4.931996077883505;WarmteAtlas:DataCentraWarmte_2021;;;
48;Ecoracks;Ambachtsweg;25;Eindhoven;5627 BZ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;158654;387654;BU07725220;GM0772;5627;5627BZ;BU07725220;GM0772;5627;5627BZ;BU07725220;GM0772;5627;5627BZ;False;False;False;51.47792473968279;5.4397990747851495;WarmteAtlas:DataCentraWarmte_2021;;;
4;BIT;Galileïlaan;19;Ede;6716 BP;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(1) uitkoppeling wamte vindt al plaats;171270;448819;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;BU02281303;GM0228;6716;6716BP;False;False;False;52.027474137249875;5.624271958586353;WarmteAtlas:DataCentraWarmte_2021;;;
49;Ecostora;Kruiwiel;2C;Hardenberg;7773 NL;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;236882;510247;BU01602808;GM0160;7773;7773NL;BU01602808;GM0160;7773;7773NL;BU01602808;GM0160;7773;7773NL;False;False;False;52.57366287616307;6.595094845500637;WarmteAtlas:DataCentraWarmte_2021;;;
5;BT;Nieuwe Hemweg;6P;Amsterdam;1013 BG;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;119675;489822;BU0363BB04;GM0363;1013;1013BG;BU0363BB04;GM0363;1013;1013BG;BU0363BB04;GM0363;1013;1013BG;False;False;False;52.39510458656702;4.868219341202384;WarmteAtlas:DataCentraWarmte_2021;;;
