codering;jaar;wtp_actiedoelen;wtp_energiedragers;wtp_energiebronnen_z_omz;wtp_wng_check;wtp_wng_type_wnet;wtp_util_check
BU09940200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940202;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940203;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940204;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940205;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940206;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940300;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940301;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940302;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940402;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940405;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940406;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU09940500;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290000;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290001;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290002;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290003;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290009;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290100;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290101;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290102;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290103;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290109;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290200;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290201;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290202;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290209;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290300;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290301;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290302;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290309;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290400;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290401;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290402;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290409;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290500;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290501;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290509;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290600;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BU17290601;2023;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
