waterschap;res_gebied;naamgeving;min_uur;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Land van Cuijk;376.25;53158.1;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU19821303;GM1982;5443;5443PL;BU19821303;GM1982;5443;5443PL;BU19821303;GM1982;5443;5443PL;False;False;False;51.69586600213905;5.8937060836766735;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Mastgat;36.9979166667;5227.21;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU16760509;GM1676;4311;4311RD;BU16760509;GM1676;4311;4311RD;BU16760509;GM1676;4311;4311RD;False;False;False;51.632169089344394;4.062855518981384;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi De Verseput;60.3970833332;8533.14;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU16761009;GM1676;4321;4321TD;BU16761009;GM1676;4321;4321TD;BU16761009;GM1676;4321;4321TD;False;False;False;51.67834144178038;3.872639135244112;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Westerschouwen;65.7183333332;9284.94;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU16761208;GM1676;4328;4328NP;BU16761208;GM1676;4328;4328NP;BU16761208;GM1676;4328;4328NP;False;False;False;51.69009474668677;3.7629422223519993;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Sint Maartensdijk;46.0995833332;6513.13;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07160309;GM0716;4695;4695PP;BU07160309;GM0716;4695;4695PP;BU07160309;GM0716;4695;4695PP;False;False;False;51.555042762365076;4.07454181291422;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Tholen;31.1391666667;4399.46;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07160000;GM0716;4691;4691RZ;BU07160000;GM0716;4691;4691RZ;BU07160000;GM0716;4691;4691RZ;False;False;False;51.54104871993535;4.232003959453946;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Hulst;46.1533333332;6520.72;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU06770303;GM0677;4567;4567PJ;BU06770303;GM0677;4567;4567PJ;BU06770303;GM0677;4567;4567PJ;False;False;False;51.279400693249855;4.075594322783597;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Kloosterzande;19.9233333333;0.0;Minimale waarde < 20 m3/uur;BU06771501;GM0677;4588;4588KH;BU06771501;GM0677;4588;4588KH;BU06771501;GM0677;4588;4588KH;False;False;False;51.37618663163887;4.024589180562258;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Terneuzen;68.9433333332;9740.58;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07152204;GM0715;4538;4538BJ;BU07152204;GM0715;4538;4538BJ;BU07152204;GM0715;4538;4538BJ;False;False;False;51.29663637842804;3.8385439813305124;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Breskens;29.24;4131.14;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU17141009;GM1714;4511;4511PR;BU17141009;GM1714;4511;4511PR;BU17141009;GM1714;4511;4511PR;False;False;False;51.38551196972489;3.5858396341991505;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Retranchement;29.2579166667;4133.67;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU17140109;GM1714;4525;4525ND;BU17140109;GM1714;4525;4525ND;BU17140109;GM1714;4525;4525ND;False;False;False;51.36412376449775;3.3801874796791145;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Vinkel;125.416666667;17719.36;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU07961499;GM0796;5382;5382JK;BU07961499;GM0796;5382;5382JK;BU07961499;GM0796;5382;5382JK;False;False;False;51.7008874062784;5.4471228565957235;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Scheldestromen;Zeeland;rwzi Oostburg;28.0395833333;3961.54;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU17140509;GM1714;4501;4501PK;BU17140509;GM1714;4501;4501PK;BU17140509;GM1714;4501;4501PK;False;False;False;51.3391368266224;3.5022235954812597;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Den Bosch;746.05;5404.92;Specifieke berekening minimaal potentieel;BU07961203;GM0796;5221;5221CD;BU07961203;GM0796;5221;5221CD;BU07961203;GM0796;5221;5221CD;False;False;False;51.72061620443044;5.281902731057455;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Aa en Maas;Noord-oost Brabant;R.W.Z.I. Dinther;537.5;75940.14;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU17210504;GM1721;5473;5473XL;BU17210504;GM1721;5473;5473XL;BU17210504;GM1721;5473;5473XL;False;False;False;51.63525196233995;5.529918363552972;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Aa en Maas;Metropoolregio Eindhoven;R.W.Z.I. Aarle-Rixtel;680.833333332;96190.85;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU16590109;GM1659;5735;5735SC;BU16590109;GM1659;5735;5735SC;BU16590109;GM1659;5735;5735SC;False;False;False;51.503674635384975;5.662607581579918;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Aa en Maas;Metropoolregio Eindhoven;R.W.Z.I. Asten;163.4;23085.8;Specifieke berekening minimaal potentieel;BU07430702;GM0743;5721;5721TC;BU07430702;GM0743;5721;5721TC;BU07430702;GM0743;5721;5721TC;False;False;False;51.39233906635029;5.744614859849256;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
Waterschap Noorderzijlvest;Groningen;Garmerwolde;1802.78;54703.96;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU00141502;GM0014;9798;9798TC;BU00141502;GM0014;9798;9798TC;BU00141502;GM0014;9798;9798TC;False;False;False;53.248260153300144;6.670431970708313;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Horstermeer;334.54;47265.14;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU16960603;GM1696;1394;1394AH;BU16960603;GM1696;1394;1394AH;BU16960603;GM1696;1394;1394AH;False;False;False;52.25803132789376;5.085664232994243;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Amstelveen;424.84;60023.09;Specifieke berekening minimaal potentieel;BU03620701;GM0362;1183;1183TN;BU03620701;GM0362;1183;1183TN;BU03620701;GM0362;1183;1183TN;False;False;False;52.313064325158834;4.889959309549635;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Weesp;133.3;18833.15;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU0363SC01;GM0363;1382;1382JT;BU0363SC01;GM0363;1382;1382JT;BU0363SC01;GM0363;1382;1382JT;False;False;False;52.318460271348435;5.020326190319431;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;WZI Amsterdam-West;3324.33;69674.63;Specifieke berekening minimaal potentieel;BU0363FA02;GM0363;1046;1046BS;BU0363FA02;GM0363;1046;1046BS;BU0363FA02;GM0363;1046;1046BS;False;False;False;52.39853247711351;4.787161575032389;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Amsterdam-Westpoort;735.3;3886.12;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU0363BA02;GM0363;1045;1045AR;BU0363BA02;GM0363;1045;1045AR;BU0363BA02;GM0363;1045;1045AR;False;False;False;52.41321289568721;4.802233947075692;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
HH Amstel, Gooi en Vecht;Noord-Holland Zuid;RWZI Uithoorn;111.37;15734.79;Indicatie minimaal potentieel op basis van veel voorkomende afwijking tov gemiddeld potentieel;BU04517500;GM0451;1422;1422AJ;BU04517500;GM0451;1422;1422AJ;BU04517500;GM0451;1422;1422AJ;False;False;False;52.23978288908446;4.8319356512488705;WarmteAtlas:TEA_assets_minimale_potentie;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:53;
