child_transformer_id;parent_transformer_id
CM73;Station Goes de Poel 150
CM76;Station Geervliet 150
CM50;Station Rijswijk 150 kV
TT026_10;Station Rotterdam Waalhaven 150 kV
TH009_10;Station Gouda 150 kV
CM10;Station Utrecht Lage Weide 150
CM79;Station Kruiningen 150
CM20;Station Zoetermeer 150 kV
CM29/45;Station Dordrecht Zuid 150
CM80;Station Kruiningen 150
CM31;Station Gouda 150 kV
TH053_23;Station Rotterdam Waalhaven 150 kV
TT033_10;Station Oudeland 150
CM84;Station Geervliet 150
TT039_10;Station Delft 150 kV
CM49;Station Rijswijk 150 kV
CM52;Station Rijswijk 150 kV
CM22;Station Arkel 150
CM60;Station Breukelen 150
TT042_10;Station Zoetermeer 150 kV
CM29/64;Station Dordrecht Zuid 150
CM14;Station Utrecht Lage Weide 150
TT228_10;Station Goes de Poel 150
TZ018_10;Station Delft 150 kV
CM50;Station Voorburg 150 kV
CM63;Station Alblasserdam 150 kV
CM29/45;Station Dordrecht Merwedehaven 150 kV
CM26;Station s Gravenhage 150 kV
TT032_13;Station Ommoord 150 kV
TT037_10;Station Delft 150 kV
TS069_10;Station Breukelen 150
CM85;Station Geervliet 150
TT035_10;Station Ommoord 150 kV
TT034_10;Station Rotterdam Marconistraat 150 kV
TT041_10;Station Ommoord 150 kV
TT062_10;Station Ypenburg 150 kV
TT046_10;Station Zoetermeer 150 kV
TT076_10;Station Gouda 150 kV
TT069_10;Station Zoetermeer 150 kV
TT072_10;Station Gouda 150 kV
TT022_10;Station Rotterdam Waalhaven 150 kV
CM12;Station Merwedekanaal
CM48;Station Krimpen a/d IJssel 150 kV
TT028_10;Station Delft 150 kV
TT029_10;Station Westerlee 150 kV
TT065_10;Station Voorburg 150 kV
TT068_10;Station Ypenburg 150 kV
TT002_10;Station Rotterdam Centrum 150 kV
TH201_10_A;Station Goes de Poel 150
TT045_10;Station Zoetermeer 150 kV
TH064_23;Station Ypenburg 150 kV
TH201_10_B;Station Goes de Poel 150
TT063_10;Station Voorburg 150 kV
TH202_10;Station Vlissingen 150
TH203_10_A;Station Westdorpe 150
TT044_10;Station Delft 150 kV
TT043_10;Station Zoetermeer 150 kV
TT075_10;Station Gouda 150 kV
TT079_10;Station Zoetermeer 150 kV
TS043_10;Station Bunschoten
CM37;Station Driebergen 150
TT078_10;Station Zoetermeer 150 kV
CM52;Station Ypenburg 150 kV
TT066_10;Station Voorburg 150 kV
TH039_23;Station Ommoord 150 kV
TH061_23;Station Rotterdam Marconistraat 150 kV
TS004_10;Station Haarlemmermeer 150
TS064_10;Station Driebergen 150
TS062_10;Station Soest 150
TT014_10;Station Rotterdam Marconistraat 150 kV
CM47;Station Rotterdam Zuidwijk 150 kV
